Selection,View,channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Agg Entropy (bits),Center Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Max Freq (Hz),Annotation,filename,StartMicInWater,EndMicInWater,filepath,label,call_length
2,Spectrogram 1,1,13.3170465,17.68140679,3000,4350,0.1964,1350,-46.62,1.535,3562.5,3937.5,3375,3562.5,Y,211127_0066,13.21360871,36.83541689,annotations,0,4.364360294
3,Spectrogram 1,1,17.87780544,18.94737764,3900,5475,0.2248,1575,-38.94,2.211,5062.5,5437.5,4125,5062.5,Y,211127_0066,13.21360871,36.83541689,annotations,0,1.069572202
4,Spectrogram 1,1,19.17222022,24.29347097,2400,3900,0.1314,1500,-56.7,2.786,3187.5,3562.5,2625,3375,N,211127_0066,13.21360871,36.83541689,annotations,0,5.12125075
5,Spectrogram 1,1,24.42485489,26.46074207,4500,6225,0.2262,1725,-48.95,2.256,5437.5,5625,4875,5437.5,Y,211127_0066,13.21360871,36.83541689,annotations,0,2.035887178
6,Spectrogram 1,1,26.68693913,32.28917696,2625,3900,0.279,1275,-59.71,2.58,3375,3750,2625,3750,N,211127_0066,13.21360871,36.83541689,annotations,0,5.60223783
7,Spectrogram 1,1,32.56819848,34.23723885,3150,4275,0.1815,1125,-46.91,1.409,3750,3937.5,3562.5,3750,Y,211127_0066,13.21360871,36.83541689,annotations,0,1.669040369
8,Spectrogram 1,1,34.41873829,36.62682799,4125,6975,0.2086,2850,-63.04,3.845,5250,6937.5,4125,4312.5,,211127_0066,13.21360871,36.83541689,annotations,0,2.208089698
2,Spectrogram 1,1,33.71774501,66.3654295,3539.568,4057.554,0.1715,517.986,-55.18,1.401,3750,3937.5,3562.5,3750,Y,211208_0069,33.5853921,275.2076941,annotations,0,32.64768448
3,Spectrogram 1,1,66.53696626,90.10751107,3230.769,4143.885,0.1689,913.116,-53.76,1.79,3937.5,4125,3562.5,3937.5,Y,211208_0069,33.5853921,275.2076941,annotations,0,23.57054481
4,Spectrogram 1,1,90.27640712,117.066291,3230.769,3798.561,0.2656,567.792,-49.81,1.245,3562.5,3750,3375,3562.5,Y,211208_0069,33.5853921,275.2076941,annotations,0,26.7898839
5,Spectrogram 1,1,117.3319137,174.0900908,3453.237,4489.209,0.1899,1035.972,-59.22,2.04,3937.5,4312.5,3562.5,3937.5,N,211208_0069,33.5853921,275.2076941,annotations,0,56.75817709
6,Spectrogram 1,1,174.2799703,195.949768,3230.769,4057.554,0.1688,826.785,-49.17,1.426,3750,3937.5,3562.5,3750,Y,211208_0069,33.5853921,275.2076941,annotations,0,21.66979769
