Selection,View,Channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Center Time (s),Delta Freq (Hz),Delta Time (s),Peak Freq (Hz),Peak Power (dB),Begin Clock Time,Begin Date,Begin Date Time,Begin Hour,End Clock Time,ManateeVocal,SNR,Type of call,NLP,>20kHz,Subharmonic,Sideband,Deterministic Chaos,Biphonal,Frequency Jump,Comments,Tonal,Type,No. harm,Notes,filename,StartMicInWater,EndMicInWater,filepath,>22kHz,MANATEE,label,call_length
2,Spectrogram 1,1,1032.106,1049.332,6827.2,12191.5,1049.4289999999999,5364.3,0.19699999999999998,8906.2,34.2,1049.3319999999999,,1049.3319999999999,0.0,1049.529,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,17.226000000000113
3,Spectrogram 1,1,1049.529,1053.876,7412.4,11703.8,1053.997,4291.4,0.142,9843.8,39.2,1053.876,,1053.876,0.0,1054.018,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.34699999999998
4,Spectrogram 1,1,1054.018,1058.84,7314.9,11898.9,1058.91,4584.0,0.16399999999999998,7406.2,33.1,1058.84,,1058.84,0.0,1059.004,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.821999999999889
5,Spectrogram 1,1,1059.004,1081.54,7997.6,10923.6,1081.5910000000001,2926.0,0.115,9515.6,22.6,1081.54,,1081.54,0.0,1081.655,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,22.536000000000058
6,Spectrogram 1,1,1081.655,1085.273,6729.7,11313.7,1085.347,4584.0,0.185,9890.6,31.4,1085.2730000000001,,1085.2730000000001,0.0,1085.458,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,3.617999999999938
7,Spectrogram 1,1,1085.458,1091.074,7119.8,10923.6,1091.14,3803.8,0.145,9000.0,24.2,1091.0739999999998,,1091.0739999999998,0.0,1091.219,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.6159999999999854
8,Spectrogram 1,1,1091.219,1095.533,7705.0,11216.2,1095.567,3511.2,0.15,8015.6,29.9,1095.5330000000001,,1095.5330000000001,0.0,1095.683,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,4.313999999999851
9,Spectrogram 1,1,1095.683,1102.541,7510.0,10435.9,1102.5710000000001,2925.9,0.163,8343.8,40.3,1102.5410000000002,,1102.5410000000002,0.0,1102.704,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.857999999999947
10,Spectrogram 1,1,1102.704,1109.313,7217.4,10338.4,1109.428,3121.0,0.198,9187.5,29.5,1109.313,,1109.313,0.0,1109.511,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.609000000000151
11,Spectrogram 1,1,1109.511,1116.099,7217.4,10505.7,1116.15,3288.3,0.149,8578.1,29.6,1116.099,,1116.099,0.0,1116.248,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,6.587999999999965
12,Spectrogram 1,1,1116.248,1121.817,6158.5,9056.6,1121.8239999999998,2898.1,0.145,7687.5,42.7,1121.817,,1121.817,0.0,1121.962,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.56899999999996
13,Spectrogram 1,1,1121.962,1127.742,7607.5,10045.8,1127.837,2438.3,0.242,8812.5,34.8,1127.742,,1127.742,0.0,1127.984,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.779999999999973
14,Spectrogram 1,1,1127.984,1145.956,7314.9,9948.3,1146.0439999999999,2633.4,0.151,9562.5,26.0,1145.9560000000001,,1145.9560000000001,0.0,1146.107,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,17.97199999999998
15,Spectrogram 1,1,1146.107,1198.299,0.0,1365.4,1198.445,1365.4,0.27899999999999997,0.0,86.8,1198.299,,1198.299,0.0,1198.578,0.0,,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,52.19200000000001
16,Spectrogram 1,1,1198.578,1974.071,6339.6,11801.4,1974.1689999999999,5461.8,0.20199999999999999,9703.1,30.6,1974.0710000000001,,1974.0710000000001,0.0,1974.273,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,775.4929999999999
17,Spectrogram 1,1,1974.273,1982.048,1931.0,17241.4,1982.089,15310.4,0.28300000000000003,12187.5,59.1,1982.0479999999998,,1982.0479999999998,0.0,1982.3310000000001,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,7.775000000000091
18,Spectrogram 1,1,1982.331,1983.543,1379.3,19586.2,1983.727,18206.9,0.265,3703.1,52.1,1983.543,,1983.543,0.0,1983.808,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,1.211999999999989
19,Spectrogram 1,1,1983.808,1995.169,2206.9,17931.0,1995.382,15724.1,0.29100000000000004,10546.9,38.7,1995.1689999999999,,1995.1689999999999,0.0,1995.46,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,11.361000000000104
20,Spectrogram 1,1,1995.46,2001.341,551.7,12551.7,2001.53,12000.0,0.257,9609.4,39.4,2001.3410000000001,,2001.3410000000001,0.0,2001.598,1.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,5.880999999999858
21,Spectrogram 1,1,2001.598,2001.68,6620.7,9056.6,2001.757,2435.9,0.158,8203.1,38.4,2001.68,,2001.68,0.0,2001.838,0.0,L,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.08200000000010732
22,Spectrogram 1,1,2001.838,2002.447,827.6,24000.0,2002.5870000000002,23172.4,0.325,14718.8,34.9,2002.4470000000001,,2002.4470000000001,0.0,2002.7720000000002,1.0,M,,,,,,,,,,,,,,170708215525,1031.939,4277.935,2017-Jul-08-12-67407878-RestingHole1A,,,0,0.6089999999999236
