Selection,View,Channel,begin_time,end_time,Low Freq (Hz),Delta Time (s),Delta Freq (Hz),High Freq (Hz),Inband Power (dB FS),Begin Date Time,SNR,NUM HARM,recording_filename,filename,StartMicInWater,EndMicInWater,filepath,label,call_length,split_type
309,Spectrogram 1,1,1063.5926733333326,1083.2658533333306,9566.238,0.0559,848.528,10414.766,-93.64,2012/12/11  0:40:45.9180,0.3,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,19.67317999999796,test
275,Spectrogram 1,1,718.2351133333359,730.2131333333309,7872.0,0.104,3840.0,11712.0,-92.9,2012/12/11  0:34:52.8653,4.1,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,11.978019999995013,test
358,Spectrogram 1,1,3994.890973333335,4001.513841711334,12017.352,0.1966,2190.648,14208.0,-94.22,2012/12/11  1:29:24.1660,0.8,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,6.622868377999112,test
662,Spectrogram 1,1,9756.981266964998,9759.401668669998,6132.159,0.3777,22414.097,28546.256,-94.09,2012/12/11  6:05:20.4262,0.0,5,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.4204017049996764,test
193,Spectrogram 1,1,9464.988876666666,9490.042612095664,5446.31,0.1134,8873.018,14319.328,-96.1,2012/12/11  0:00:54.6044,4.8,2,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,25.053735428997243,test
478,Spectrogram 1,1,9477.108973333336,9490.07450333333,12091.526,0.2795,1272.792,13364.318,-92.69,2012/12/11  3:00:52.7267,6.9,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,12.965529999994033,test
544,Spectrogram 1,1,1344.346470000004,1362.6445900000035,13333.333,0.1233,4008.461,17341.794,-96.66,2012/12/11  3:45:23.6691,0.9,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,18.29811999999947,test
156,Spectrogram 1,1,7506.661237380667,8210.046126666668,6925.207,0.18,7001.309,13926.516,-90.88,2012/12/10  23:39:34.6080,3.2,1,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,703.3848892860005,test
334,Spectrogram 1,1,3138.127793333333,3141.8820163603305,9217.352,0.0989,2686.648,11904.0,-91.75,2012/12/11  1:15:04.5342,6.8,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,3.754223026997352,test
34,Spectrogram 1,1,3963.909544,3967.330499,8952.4,0.0887,7539.908,16492.308,-97.43,2012/12/10  16:29:07.3305,0.1,2,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,3.420955000000049,test
213,Spectrogram 1,1,10007.418416666667,10008.891506666669,7162.075,0.3466,8273.149,15435.224,-95.02,2012/12/11  0:09:33.4533,2.4,3,67670025.20121215,67670025.201212161507,425.6730666666663,10760.440966666663,augmented_annotations2,0,1.4730900000013207,test
669,Spectrogram 1,1,9782.772653784,9785.462774847998,3594.714,0.316,16704.846,20299.559,-92.72,2012/12/11  6:05:46.4873,0.0,4,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,2.69012106399714,test
437,Spectrogram 1,1,7652.259703333337,7656.802283333331,8909.545,0.1118,1909.189,10818.734,-90.89,2012/12/11  2:30:19.4544,8.7,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,4.5425799999939045,test
49,Spectrogram 1,1,6083.248,8174.857851,9817.052,0.1264,1998.333,11815.385,-103.03,2012/12/10  17:39:14.8579,3.3,1,67670025.2012121,67670025.201212101523,412.928221503,10102.45615,augmented_annotations2,0,2091.609851,test
128,Spectrogram 1,1,5132.083629999999,5144.222239999999,8827.737,0.0919,4302.308,13130.045,-98.1,2012/12/10  19:48:31.9557,1.5,2,67670025.20121212,67670025.201212131511,273.2892959849996,10293.68387,augmented_annotations2,0,12.138609999999971,test
537,Spectrogram 1,1,1138.1892200000002,1180.6509300000034,16148.551,0.0894,1272.792,17421.343,-97.4,2012/12/11  3:42:21.6754,5.1,1,67670025.20121223,67670025.201212221503,12.793649999999616,30584.991493386,augmented_annotations2,0,42.46171000000322,test
357,Spectrogram 1,1,3974.502303333335,3983.197091711336,12717.352,0.1891,1106.648,13824.0,-97.03,2012/12/11  1:29:05.8493,0.0,1,67670025.2012122,67670025.201212191505,26.77731333333213,10766.23735333333,augmented_annotations2,0,8.694788378000794,test
