label,Selection,Delta Time (s),begin_time,View,StartMicInWater,EndMicInWater,Low Freq (Hz),High Freq (Hz),filepath,call_length,end_time,Delta Freq (Hz),filename,split_type
0,51,0.126,961.325,Spectrogram 1,2.817,1437.053,1875.0,45221.1,annotations,3.73599999999999,965.061,43346.1,67407878.170713225715,train
0,37,0.272,268.134,Spectrogram 1,1.197,5326.316999999999,2852.0,10816.1,annotations,3.035000000000025,271.16900000000004,7964.1,67407878.170710052517,train
0,41,0.4429999999999999,1038.219,Spectrogram 1,39.688,4857.42,8607.3,21549.7,annotations,19.261999999999944,1057.481,12942.4,67407878.170710095516,train
0,295,0.488,4552.369,Spectrogram 1,129.123,5353.357,3294.1,19616.4,annotations,6.200000000000728,4558.569,16322.3,67407878.170709232519,train
1,15,0.489,1772.162,Spectrogram 1,136.149,1772.651,0.0,2881.8,annotations,0.4890000000000327,1772.651,2881.8,67407878.170714162713,train
1,2,0.226,599.685,Spectrogram 1,136.149,1772.651,630.3,3588.1,annotations,0.2259999999999991,599.911,2957.8,67407878.170714162713,train
0,45,0.195,745.217,Spectrogram 1,24.659,1710.758,1270.5,2451.2,annotations,0.0689999999999599,745.286,1180.7,67407878.170716112708,train
0,70,0.111,13.043,Spectrogram 1,2.817,1437.053,3191.8,24920.4,annotations,4.472999999999999,17.516,21728.6,67407878.170713225715,train
0,109,0.156,1986.263,Spectrogram 1,1.066,5392.924,3706.2,9962.3,annotations,3.9909999999999854,1990.254,6256.1,67407878.170709035524,train
0,341,0.188,3541.883,Spectrogram 1,1.066,5392.924,1517.2,20137.9,annotations,0.8960000000001855,3542.779,18620.7,67407878.170709035524,train
1,207,0.244,3508.248,Spectrogram 1,129.123,5353.357,2654.2,27244.5,annotations,0.2440000000001418,3508.492,24590.3,67407878.170709232519,train
0,49,0.1,1246.824,Spectrogram 1,1.066,5392.924,4709.4,19471.7,annotations,55.81600000000003,1302.64,14762.3,67407878.170709035524,train
0,96,0.255,1197.992,Spectrogram 1,2.817,1437.053,4962.7,14725.4,annotations,90.95499999999991,1288.947,9762.7,67407878.170713225715,train
1,100,4.357,1899.758,Spectrogram 1,39.688,4857.42,2364.1,7767.6,annotations,4.356999999999971,1904.115,5403.5,67407878.170710095516,train
0,12,3.1860000000000004,1695.2,Spectrogram 1,1.999,5095.478,0.0,1755.6,annotations,178.71699999999987,1873.917,1755.6,67407878.170709095523,train
1,287,0.1169999999999999,4465.6,Spectrogram 1,129.123,5353.357,6482.8,9788.2,annotations,0.1169999999992796,4465.717,3305.4,67407878.170709232519,train
0,307,0.257,3392.357,Spectrogram 1,1.066,5392.924,2023.0,31816.1,annotations,2.1480000000001382,3394.505,29793.1,67407878.170709035524,train
1,147,0.272,2164.253,Spectrogram 1,71.428399024,5391.007,1909.2,24941.4,annotations,0.2719999999999345,2164.525,23032.2,67407878.170710005518,train
0,62,0.142,711.772,Spectrogram 1,129.123,5353.357,4631.6,14736.8,annotations,16.154999999999973,727.927,10105.2,67407878.170709232519,train
0,14,0.086,1685.216,Spectrogram 1,54.644,5366.656,1384.6,3538.5,annotations,29.63400000000001,1714.85,2153.9,67407878.170709082523,train
1,4,3.116,71.386,Spectrogram 1,39.688,4857.42,3824.4,6419.4,annotations,3.116,74.502,2595.0,67407878.170710095516,train
1,13,0.121,213.639,Spectrogram 1,129.123,5353.357,5454.5,9917.4,annotations,0.1209999999999809,213.76,4462.9,67407878.170709232519,train
0,19,0.293,1631.791,Spectrogram 1,223.034,1789.787,2624.3,11022.1,annotations,22.107999999999947,1653.899,8397.8,67407878.170716052709,train
0,164,0.471,2362.892,Spectrogram 1,1.066,5392.924,3998.8,9558.1,annotations,1.5,2364.392,5559.3,67407878.170709035524,train
0,5,0.358,718.027,Spectrogram 1,37.901,1796.21,2701.2,14974.0,annotations,734.1679999999999,1452.195,12272.8,67407878.170713222715,train
1,10,0.114,905.106,Spectrogram 1,42.834,1715.048,1968.6,16427.5,annotations,0.1140000000000327,905.22,14458.9,67407878.170714032715,train
0,31,0.174,755.738,Spectrogram 1,2.817,1437.053,2172.4,25545.2,annotations,1.7719999999999343,757.51,23372.8,67407878.170713225715,train
0,188,0.187,2442.27,Spectrogram 1,1.066,5392.924,6851.1,20292.1,annotations,0.6460000000001855,2442.916,13441.0,67407878.170709035524,train
1,9,0.135,341.079,Spectrogram 1,1.066,5392.924,7517.0,12407.5,annotations,0.1349999999999909,341.214,4890.5,67407878.170709035524,train
1,172,0.235,3028.436,Spectrogram 1,129.123,5353.357,2303.0,16775.5,annotations,0.2349999999996725,3028.671,14472.5,67407878.170709232519,train
0,39,0.267,275.189,Spectrogram 1,1.197,5326.316999999999,3013.5,18296.0,annotations,3.915999999999997,279.105,15282.5,67407878.170710052517,train
0,31,0.26,316.502,Spectrogram 1,129.123,5353.357,3225.8,23702.7,annotations,8.048000000000002,324.55,20476.9,67407878.170709232519,train
1,129,0.16,2628.977,Spectrogram 1,129.123,5353.357,4732.4,19605.6,annotations,0.1600000000003092,2629.137,14873.2,67407878.170709232519,train
0,44,2.469,1089.276,Spectrogram 1,39.688,4857.42,7853.4,16586.4,annotations,12.977999999999838,1102.254,8733.0,67407878.170710095516,train
1,65,0.213,1025.688,Spectrogram 1,71.428399024,5391.007,4732.4,24701.6,annotations,0.2129999999999654,1025.901,19969.2,67407878.170710005518,train
1,113,0.092,1372.468,Spectrogram 1,71.428399024,5391.007,6269.4,14106.1,annotations,0.0919999999998708,1372.56,7836.7,67407878.170710005518,train
1,7,0.156,1164.792,Spectrogram 1,375.283,1793.46,2326.6,13412.2,annotations,0.1560000000001764,1164.948,11085.6,67407878.170713215715,train
1,2,0.24,438.501,Spectrogram 1,37.901,1796.21,2079.2,9665.4,annotations,0.2400000000000091,438.741,7586.2,67407878.170713222715,train
1,4,0.1009999999999999,745.333,Spectrogram 1,723.42,1716.304,9769.9,11575.2,annotations,0.100999999999999,745.434,1805.3,67407878.170715052713,train
1,6,0.16,541.021,Spectrogram 1,42.834,1715.048,1136.8,13953.5,annotations,0.1600000000000818,541.181,12816.7,67407878.170714032715,train
1,261,0.1369999999999999,3175.189,Spectrogram 1,1.066,5392.924,3381.1,7802.6,annotations,0.1370000000001709,3175.326,4421.5,67407878.170709035524,train
1,88,0.879,1580.518,Spectrogram 1,39.688,4857.42,4137.1,16970.6,annotations,0.8789999999999054,1581.397,12833.5,67407878.170710095516,train
1,191,2.323,3263.981,Spectrogram 1,129.123,5353.357,0.0,70410.6,annotations,2.3229999999998654,3266.304,70410.6,67407878.170709232519,train
1,73,0.138,207.705,Spectrogram 1,2.817,1437.053,5470.6,9910.4,annotations,0.1379999999999768,207.843,4439.8,67407878.170713225715,train
0,125,0.06,1887.305,Spectrogram 1,71.428399024,5391.007,3946.6,12366.1,annotations,0.4359999999999218,1887.741,8419.5,67407878.170710005518,train
1,273,0.25,4402.823,Spectrogram 1,129.123,5353.357,2434.0,35891.8,annotations,0.25,4403.073,33457.8,67407878.170709232519,train
1,50,0.26,1167.524,Spectrogram 1,39.688,4857.42,4020.9,7664.9,annotations,0.2600000000002183,1167.784,3644.0,67407878.170710095516,train
1,148,0.261,2172.752,Spectrogram 1,71.428399024,5391.007,3114.9,17341.4,annotations,0.2609999999999672,2173.013,14226.5,67407878.170710005518,train
0,19,0.26,270.016,Spectrogram 1,0.898,923.796,4977.0,18359.4,annotations,8.44599999999997,278.462,13382.4,67407878.170716055709,train
1,53,0.207,640.397,Spectrogram 1,129.123,5353.357,2631.6,13263.2,annotations,0.2069999999999936,640.604,10631.6,67407878.170709232519,train
