Selection,View,channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Agg Entropy (bits),Center Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Max Freq (Hz),Annotation,filename,StartMicInWater,EndMicInWater,filepath,label,call_length,split_type,date_str
2,Spectrogram 1,1,13.317046497,17.681406791,3000.0,4350.0,0.1964,1350.0,-46.62,1.535,3562.5,3937.5,3375.0,3562.5,Y,211127_0066,13.213608705,36.835416892,annotations,0,4.364360294000002,train,211127
3,Spectrogram 1,1,17.877805435,18.947377637,3900.0,5475.0,0.2248,1575.0,-38.94,2.211,5062.5,5437.5,4125.0,5062.5,Y,211127_0066,13.213608705,36.835416892,annotations,0,1.0695722019999998,val,211127
4,Spectrogram 1,1,19.172220223,24.293470973,2400.0,3900.0,0.1314,1500.0,-56.7,2.786,3187.5,3562.5,2625.0,3375.0,N,211127_0066,13.213608705,36.835416892,annotations,0,5.1212507500000015,train,211127
5,Spectrogram 1,1,24.424854893000003,26.460742071,4500.0,6225.0,0.2262,1725.0,-48.95,2.256,5437.5,5625.0,4875.0,5437.5,Y,211127_0066,13.213608705,36.835416892,annotations,0,2.035887177999996,train,211127
6,Spectrogram 1,1,26.686939131,32.289176961,2625.0,3900.0,0.2789999999999999,1275.0,-59.71,2.58,3375.0,3750.0,2625.0,3750.0,N,211127_0066,13.213608705,36.835416892,annotations,0,5.602237830000004,train,211127
7,Spectrogram 1,1,32.568198483,34.237238852,3150.0,4275.0,0.1815,1125.0,-46.91,1.409,3750.0,3937.5,3562.5,3750.0,Y,211127_0066,13.213608705,36.835416892,annotations,0,1.6690403689999942,val,211127
8,Spectrogram 1,1,34.418738289000004,36.626827987,4125.0,6975.0,0.2086,2850.0,-63.04,3.845,5250.0,6937.5,4125.0,4312.5,,211127_0066,13.213608705,36.835416892,annotations,0,2.208089697999995,train,211127
2,Spectrogram 1,1,43.644584713,55.91182290800001,2230.769,3798.561,0.2493,1567.792,-36.31,2.777,3000.0,3562.5,2250.0,2437.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,12.267238195000004,val,211208
3,Spectrogram 1,1,56.16115779800001,62.834913716,2503.597,4143.885,0.2862,1640.2879999999998,-42.4,2.4530000000000003,3562.5,4125.0,2625.0,3375.0,Y,211208_0072,43.392289247,321.339491755,annotations,0,6.673755917999997,train,211208
4,Spectrogram 1,1,63.121110308,70.605859359,2848.921,3884.892,0.2426,1035.971,-32.93,1.369,3187.5,3750.0,3187.5,3187.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,7.484749050999994,val,211208
5,Spectrogram 1,1,70.848414023,84.101191812,2244.604,3884.892,0.1943,1640.2879999999998,-42.35,2.935,3187.5,3750.0,2250.0,3562.5,N,211208_0072,43.392289247,321.339491755,annotations,0,13.25277778899999,train,211208
