channel,begin_time,end_time,filename,call_length,label
2,6.551239683,7.466920333,210919-131709,0.9156806499999997,1
2,7.787410258,7.998180621,210919-131709,0.21077036299999996,2
2,12.668408141,13.278532876,210919-131709,0.6101247349999994,3
2,189.805684608,190.495961949,210919-131709,0.6902773409999838,1
2,208.776810506,209.519680406,210919-131709,0.7428698999999881,1
2,222.391043223,223.37715371,210919-131709,0.9861104869999906,5
2,225.052415905,225.900470923,210919-131709,0.8480550179999966,1
2,230.1418495,231.062219287,210919-131709,0.9203697869999985,5
2,232.013108944,232.236627321,210919-131709,0.22351837699997645,4
2,232.391000715,233.153592824,210919-131709,0.7625921089999963,1
2,235.250721125,236.157942772,210919-131709,0.9072216470000001,1
2,238.428099929,239.394488205,210919-131709,0.9663882759999751,1
2,243.117443748,243.748554459,210919-131709,0.6311107109999909,1
2,245.622166598,246.305869868,210919-131709,0.6837032699999952,3
2,247.587811286,248.304384906,210919-131709,0.7165736199999913,1
2,253.51102075,254.378797978,210919-131709,0.8677772279999942,1
2,273.460858926,274.41783433,210919-131709,0.9569754039999907,1
2,276.772367755,277.690122855,210919-131709,0.9177551000000221,1
2,285.675502571,286.765827007,210919-131709,1.090324436000003,1
2,297.558104141,298.413106756,210919-131709,0.8550026149999894,3
2,300.967045661,302.33191222,210919-131709,1.3648665590000064,5
2,307.116130745,308.128014574,210919-131709,1.0118838289999985,1
2,310.890967676,312.516454762,210919-131709,1.625487086000021,3
2,319.291804668,320.3429088,210919-131709,1.0511041319999777,3
2,328.929744232,329.996536485,210919-131709,1.06679225299996,1
2,343.556529584,345.274378874,210919-131709,1.7178492900000037,5
2,347.281025386,348.104651758,210919-131709,0.8236263719999783,1
2,352.749495138,354.153582,210919-131709,1.4040868619999856,5
2,356.202198684,357.386651847,210919-131709,1.1844531630000006,3
2,361.368896724,362.12192655,210919-131709,0.7530298259999881,1
2,363.892526622,365.335833789,210919-131709,1.4433071670000004,5
2,370.404064312,371.321819412,210919-131709,0.9177551000000221,1
2,372.396455726,373.549532647,210919-131709,1.153076920999979,5
2,375.292979267,376.155825942,210919-131709,0.8628466749999575,1
