,begin_time,end_time,filename,call_length,label
0,3.815648932,4.790005049,210922-112437,0.9744,1
1,776.537727963,777.332597427,210922-112437,0.7949,1
2,780.663882042,781.522853881,210922-112437,0.859,1
3,796.741575469,797.831315863,210922-112437,1.0897,1
4,807.343876025,808.228488815,210922-112437,0.8846,1
5,809.082855248,809.21106,210922-112437,0.1282,1
6,809.967468038,810.134134216,210922-112437,0.1667,1
7,811.146695308,811.774898594,210922-112437,0.6282,1
8,815.078789613,815.271096741,210922-112437,0.1923,1
9,816.043913726,816.89006509,210922-112437,0.8462,1
10,819.422631461,820.204680449,210922-112437,0.782,1
11,821.079042084,822.386730557,210922-112437,1.3077,1
12,830.953661521,832.043401915,210922-112437,1.0897,1
13,835.722878304,836.684413945,210922-112437,0.9615,1
14,840.36263706,841.170326999,210922-112437,0.8077,1
15,842.048275785,842.291864814,210922-112437,0.2436,1
16,843.125195703,843.420066634,210922-112437,0.2949,1
17,843.548271386,844.458525127,210922-112437,0.9103,1
18,845.386991136,845.553657313,210922-112437,0.1667,1
19,846.669038658,846.874166261,210922-112437,0.2051,1
20,846.976730063,847.600070704,210922-112437,0.6233,1
21,851.066218458,851.284166537,210922-112437,0.2179,1
22,851.365311504,852.031976215,210922-112437,0.6667,1
23,852.942229956,853.134537085,210922-112437,0.1923,1
24,854.083252251,854.30120033,210922-112437,0.2179,1
25,854.404428656,855.340323348,210922-112437,0.9359,1
26,977.969468709,979.111714774,210922-112437,1.1422,1
27,1018.283335217,1019.171748824,210922-112437,0.8884,1
28,1023.238848377,1024.145392874,210922-112437,0.9065,1
29,1024.820243322,1024.983421331,210922-112437,0.1632,1
30,1025.835573158,1026.071274727,210922-112437,0.2357,1
31,1026.814641215,1027.666793041,210922-112437,0.8522,1
32,1028.501743931,1028.71931461,210922-112437,0.2176,1
33,1029.825298896,1029.988476905,210922-112437,0.1632,1
34,1039.467632635,1040.229130013,210922-112437,0.7615,1
35,1043.571366177,1043.788936856,210922-112437,0.2176,1
36,1043.897722196,1044.894921142,210922-112437,0.9972,1
37,1045.638287629,1045.873989199,210922-112437,0.2357,1
38,1046.762402805,1046.979973485,210922-112437,0.2176,1
39,1047.143151494,1048.122219551,210922-112437,0.9791,1
40,1634.804886134,1635.599755598,210922-112437,0.7949,1
41,1643.932824548,1644.727694011,210922-112437,0.7949,1
42,1649.030271669,1650.107191588,210922-112437,1.0769,1
43,1650.812317725,1650.953342952,210922-112437,0.141,1
44,1651.825135267,1652.043083346,210922-112437,0.2179,1
45,1652.940516612,1653.799488452,210922-112437,0.859,1
46,1663.367448511,1664.111036074,210922-112437,0.7436,1
47,1668.903349135,1669.621295747,210922-112437,0.7179,1
48,1680.580052778,1681.336460816,210922-112437,0.7564,1
49,1685.730566616,1686.871588911,210922-112437,1.141,1
50,1690.682358595,1691.451587109,210922-112437,0.7692,1
51,1697.159528797,1697.33901545,210922-112437,0.1795,1
52,1698.262089666,1698.428755844,210922-112437,0.1667,1
53,1698.531319646,1699.595419089,210922-112437,1.0641,1
54,1703.204922548,1703.358768251,210922-112437,0.1538,1
55,1703.499793478,1704.602354347,210922-112437,1.1026,1
56,1705.525428563,1705.692094741,210922-112437,0.1667,1
57,1707.35875652,1708.089523608,210922-112437,0.7308,1
58,1708.863640751,1710.286713501,210922-112437,1.4231,1
59,1745.145177674,1746.65799375,210922-112437,1.5128,1
60,1748.081591806,1748.261078459,210922-112437,0.1795,1
61,1748.363642261,1749.530305506,210922-112437,1.1667,1
62,1750.248252118,1750.440559247,210922-112437,0.1923,1
63,1751.23542871,1751.402094888,210922-112437,0.1667,1
64,1753.467486453,1755.03158443,210922-112437,1.5641,1
65,1756.370052917,1757.254665707,210922-112437,0.8846,1
66,1757.978515815,1758.132361518,210922-112437,0.1538,1
67,1758.965692407,1759.170820011,210922-112437,0.2051,1
68,1759.863125673,1760.619533711,210922-112437,0.7564,1
69,1762.614413576,1764.268254879,210922-112437,1.6538,1
70,1765.930578567,1767.263907991,210922-112437,1.3333,1
71,1770.666216265,1771.589290481,210922-112437,0.9231,1
72,1772.711345466,1774.788262452,210922-112437,2.0769,1
73,1775.989039863,1776.860832179,210922-112437,0.8718,1
74,1777.79672687,1777.989033998,210922-112437,0.1923,1
75,1779.27108152,1780.335180964,210922-112437,1.0641,1
76,1782.434677573,1784.062877926,210922-112437,1.6282,1
77,1797.055192897,1797.991087588,210922-112437,0.9359,1
78,1798.892627896,1799.097755499,210922-112437,0.2051,1
79,1800.290059695,1801.366979614,210922-112437,1.0769,1
80,1803.982356559,1805.713120714,210922-112437,1.7308,1
81,1807.068785843,1808.04314196,210922-112437,0.9744,1
82,1831.246474137,1832.464419283,210922-112437,1.2179,1
83,1877.996473113,1878.688778775,210922-112437,0.6923,1
84,1892.072485145,1893.136584589,210922-112437,1.0641,1
85,1905.516332373,1906.567611341,210922-112437,1.0513,1
86,1910.809411013,1911.476075724,210922-112437,0.6667,1
87,1912.450431841,1913.501710809,210922-112437,1.0513,1
88,1913.85607583,1915.368891906,210922-112437,1.5128,1
89,1917.792487904,1918.651459744,210922-112437,0.859,1
90,1924.570960481,1925.442752796,210922-112437,0.8718,1
91,1932.000705247,1933.000702314,210922-112437,1.0,1
92,1937.585833438,1938.790958108,210922-112437,1.2051,1
93,1945.590962869,1946.84736944,210922-112437,1.2564,1
94,1952.740450464,1953.881472758,210922-112437,1.141,1
95,1962.805574974,1963.792774974,210922-112437,0.9872,1
96,1969.638916107,1969.84404371,210922-112437,0.2051,1
97,1970.741476976,1970.97224553,210922-112437,0.2308,1
98,1972.219974637,1973.027664576,210922-112437,0.8077,1
99,1978.642025687,1978.885614716,210922-112437,0.2436,1
100,1979.757407031,1980.013816535,210922-112437,0.2564,1
101,1980.988172652,1982.026631145,210922-112437,1.0385,1
102,1997.230744347,1998.179459514,210922-112437,0.9487,1
103,1999.064072304,1999.256379432,210922-112437,0.1923,1
104,2000.55124743,2001.589705923,210922-112437,1.0385,1
105,2075.076641569,2076.640739546,210922-112437,1.5641,1
106,2080.790743139,2081.508689752,210922-112437,0.7179,1
107,2090.38971292,2091.479453314,210922-112437,1.0897,1
108,2119.800229875,2120.543817438,210922-112437,0.7436,1
109,2122.582272998,2123.338681037,210922-112437,0.7564,1
110,2132.248911316,2133.018139829,210922-112437,0.7692,1
111,2142.902726225,2143.736057115,210922-112437,0.8333,1
112,2148.043788457,2148.864298871,210922-112437,0.8205,1
113,2151.97967435,2152.813005239,210922-112437,0.8333,1
114,2155.582227887,2156.287354024,210922-112437,0.7051,1
115,2180.364274495,2181.351451087,210922-112437,0.9872,1
116,2194.582181516,2195.325769079,210922-112437,0.7436,1
117,2225.416304674,2226.018867009,210922-112437,0.6026,1
118,2229.646304449,2230.505276289,210922-112437,0.859,1
119,2246.841176253,2247.802711895,210922-112437,0.9615,1
120,2250.07989431,2250.861943298,210922-112437,0.782,1
121,2256.93168643,2257.906042547,210922-112437,0.9744,1
122,2261.870660275,2262.486043086,210922-112437,0.6154,1
123,2269.345278765,2270.050404902,210922-112437,0.7051,1
124,2337.467836963,2338.365270229,210922-112437,0.8974,1
125,2355.623483166,2357.6234773,210922-112437,2.0,1
126,2359.77040665,2360.706301341,210922-112437,0.9359,1
127,2369.703741094,2370.678097211,210922-112437,0.9744,1
128,2373.983482815,2374.791172754,210922-112437,0.8077,1
129,2375.714765544,2377.073735918,210922-112437,1.359,1
130,2377.214761145,2378.522449618,210922-112437,1.3077,1
131,2380.701431906,2381.880915627,210922-112437,1.1795,1
132,2391.690915372,2392.626810063,210922-112437,0.9359,1
133,0.0,900.0,210921-100337-BN,900.0,0
