channel,begin_time,end_time,filename,call_length,label
4,0.057350371,1.010800294,LPS1142017_MF_20170804_084350_893,0.953449923,1
2,1.010800294,13.022125645,LPS1142017_MF_20170804_084350_893,12.011325351,0
3,1.010800294,13.022125645,LPS1142017_MF_20170804_084350_893,12.011325351,0
1,1.010800294,13.022125645,LPS1142017_MF_20170804_084350_893,12.011325351,0
4,1.010800294,13.022125645,LPS1142017_MF_20170804_084350_893,12.011325351,0
4,13.022125645,14.326846592,LPS1142017_MF_20170804_084350_893,1.3047209470000016,1
4,14.326846592,30.94412968,LPS1142017_MF_20170804_084350_893,16.617283088,0
1,14.326846592,30.94412968,LPS1142017_MF_20170804_084350_893,16.617283088,0
2,14.326846592,30.94412968,LPS1142017_MF_20170804_084350_893,16.617283088,0
3,14.326846592,30.94412968,LPS1142017_MF_20170804_084350_893,16.617283088,0
4,30.94412968,32.643134429,LPS1142017_MF_20170804_084350_893,1.6990047490000002,1
4,32.643134429,53.852027952,LPS1142017_MF_20170804_084350_893,21.208893523,0
1,32.643134429,53.852027952,LPS1142017_MF_20170804_084350_893,21.208893523,0
3,32.643134429,53.852027952,LPS1142017_MF_20170804_084350_893,21.208893523,0
2,32.643134429,53.852027952,LPS1142017_MF_20170804_084350_893,21.208893523,0
4,53.852027952,56.665780543,LPS1142017_MF_20170804_084350_893,2.8137525909999965,1
4,56.665780543,58.719644073,LPS1142017_MF_20170804_084350_893,2.053863530000001,0
1,56.665780543,58.719644073,LPS1142017_MF_20170804_084350_893,2.053863530000001,0
3,56.665780543,58.719644073,LPS1142017_MF_20170804_084350_893,2.053863530000001,0
2,56.665780543,58.719644073,LPS1142017_MF_20170804_084350_893,2.053863530000001,0
4,58.719644073,59.425770519,LPS1142017_MF_20170804_084350_893,0.706126445999999,1
3,59.425770519,75.064513088,LPS1142017_MF_20170804_084350_893,15.638742569,0
4,59.425770519,75.064513088,LPS1142017_MF_20170804_084350_893,15.638742569,0
1,59.425770519,75.064513088,LPS1142017_MF_20170804_084350_893,15.638742569,0
2,59.425770519,75.064513088,LPS1142017_MF_20170804_084350_893,15.638742569,0
1,75.426537307,105.470986163,LPS1142017_MF_20170804_084350_893,30.044448856,0
3,75.426537307,105.470986163,LPS1142017_MF_20170804_084350_893,30.044448856,0
4,75.426537307,105.470986163,LPS1142017_MF_20170804_084350_893,30.044448856,0
2,75.426537307,105.470986163,LPS1142017_MF_20170804_084350_893,30.044448856,0
4,105.470986163,106.069580663,LPS1142017_MF_20170804_084350_893,0.5985944999999901,1
2,106.069580663,108.360013709,LPS1142017_MF_20170804_084350_893,2.290433046000004,0
4,106.069580663,108.360013709,LPS1142017_MF_20170804_084350_893,2.290433046000004,0
3,106.069580663,108.360013709,LPS1142017_MF_20170804_084350_893,2.290433046000004,0
1,106.069580663,108.360013709,LPS1142017_MF_20170804_084350_893,2.290433046000004,0
3,108.360013709,110.693456941,LPS1142017_MF_20170804_084350_893,2.3334432319999934,1
4,110.693456941,143.254156338,LPS1142017_MF_20170804_084350_893,32.56069939700001,0
2,110.693456941,143.254156338,LPS1142017_MF_20170804_084350_893,32.56069939700001,0
1,110.693456941,143.254156338,LPS1142017_MF_20170804_084350_893,32.56069939700001,0
3,110.693456941,143.254156338,LPS1142017_MF_20170804_084350_893,32.56069939700001,0
3,143.254156338,143.720128104,LPS1142017_MF_20170804_084350_893,0.4659717659999955,1
2,143.720128104,160.462864656,LPS1142017_MF_20170804_084350_893,16.742736551999997,0
3,143.720128104,160.462864656,LPS1142017_MF_20170804_084350_893,16.742736551999997,0
4,143.720128104,160.462864656,LPS1142017_MF_20170804_084350_893,16.742736551999997,0
1,143.720128104,160.462864656,LPS1142017_MF_20170804_084350_893,16.742736551999997,0
4,160.462864656,160.821304476,LPS1142017_MF_20170804_084350_893,0.3584398200000009,1
4,160.821304476,162.036415468,LPS1142017_MF_20170804_084350_893,1.2151109920000067,0
3,160.821304476,162.036415468,LPS1142017_MF_20170804_084350_893,1.2151109920000067,0
2,160.821304476,162.036415468,LPS1142017_MF_20170804_084350_893,1.2151109920000067,0
1,160.821304476,162.036415468,LPS1142017_MF_20170804_084350_893,1.2151109920000067,0
4,162.036415468,162.817814276,LPS1142017_MF_20170804_084350_893,0.7813988080000058,1
4,162.817814276,166.932707988,LPS1142017_MF_20170804_084350_893,4.114893711999997,0
2,162.817814276,166.932707988,LPS1142017_MF_20170804_084350_893,4.114893711999997,0
1,162.817814276,166.932707988,LPS1142017_MF_20170804_084350_893,4.114893711999997,0
3,162.817814276,166.932707988,LPS1142017_MF_20170804_084350_893,4.114893711999997,0
4,166.932707988,168.033118237,LPS1142017_MF_20170804_084350_893,1.1004102489999923,1
4,168.22667574,169.696279004,LPS1142017_MF_20170804_084350_893,1.469603264,1
3,169.696279004,181.499711337,LPS1142017_MF_20170804_084350_893,11.803432333000018,0
2,169.696279004,181.499711337,LPS1142017_MF_20170804_084350_893,11.803432333000018,0
4,169.696279004,181.499711337,LPS1142017_MF_20170804_084350_893,11.803432333000018,0
1,169.696279004,181.499711337,LPS1142017_MF_20170804_084350_893,11.803432333000018,0
4,181.499711337,182.141318616,LPS1142017_MF_20170804_084350_893,0.6416072789999987,1
1,182.141318616,183.019496176,LPS1142017_MF_20170804_084350_893,0.8781775599999833,0
4,182.141318616,183.019496176,LPS1142017_MF_20170804_084350_893,0.8781775599999833,0
2,182.141318616,183.019496176,LPS1142017_MF_20170804_084350_893,0.8781775599999833,0
3,182.141318616,183.019496176,LPS1142017_MF_20170804_084350_893,0.8781775599999833,0
4,183.019496176,183.446039563,LPS1142017_MF_20170804_084350_893,0.4265433870000095,1
2,183.446039563,185.757980287,LPS1142017_MF_20170804_084350_893,2.31194072400001,0
3,183.446039563,185.757980287,LPS1142017_MF_20170804_084350_893,2.31194072400001,0
4,183.446039563,185.757980287,LPS1142017_MF_20170804_084350_893,2.31194072400001,0
1,183.446039563,185.757980287,LPS1142017_MF_20170804_084350_893,2.31194072400001,0
4,185.757980287,186.779533775,LPS1142017_MF_20170804_084350_893,1.021553487999995,1
3,186.779533775,187.17023318,LPS1142017_MF_20170804_084350_893,0.3906994049999923,0
4,186.779533775,187.17023318,LPS1142017_MF_20170804_084350_893,0.3906994049999923,0
2,186.779533775,187.17023318,LPS1142017_MF_20170804_084350_893,0.3906994049999923,0
1,186.779533775,187.17023318,LPS1142017_MF_20170804_084350_893,0.3906994049999923,0
4,187.17023318,189.245599741,LPS1142017_MF_20170804_084350_893,2.07536656100001,1
4,189.245599741,189.733079858,LPS1142017_MF_20170804_084350_893,0.4874801169999898,0
3,189.245599741,189.733079858,LPS1142017_MF_20170804_084350_893,0.4874801169999898,0
2,189.245599741,189.733079858,LPS1142017_MF_20170804_084350_893,0.4874801169999898,0
1,189.245599741,189.733079858,LPS1142017_MF_20170804_084350_893,0.4874801169999898,0
4,189.733079858,190.693698577,LPS1142017_MF_20170804_084350_893,0.9606187189999956,1
4,190.693698577,191.919562763,LPS1142017_MF_20170804_084350_893,1.2258641859999957,0
2,190.693698577,191.919562763,LPS1142017_MF_20170804_084350_893,1.2258641859999957,0
1,190.693698577,191.919562763,LPS1142017_MF_20170804_084350_893,1.2258641859999957,0
3,190.693698577,191.919562763,LPS1142017_MF_20170804_084350_893,1.2258641859999957,0
4,191.919562763,193.521788761,LPS1142017_MF_20170804_084350_893,1.6022259980000229,1
2,191.984084258,196.13481738,LPS1142017_MF_20170804_084350_893,4.150733121999991,1
2,196.342712476,198.321300285,LPS1142017_MF_20170804_084350_893,1.978587809000004,1
