Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	Confidence
1	Spectrogram 1	1	0.162	1.116	186.3	579.9	humpback_call	0.5204
2	Spectrogram 1	1	2.964	4.859	83.7	560.4	humpback_call	0.1834
3	Spectrogram 1	1	6.874	8.440	165.5	535.8	humpback_call	0.3047
4	Spectrogram 1	1	11.404	12.425	179.7	558.3	humpback_call	0.5444
5	Spectrogram 1	1	13.592	14.301	114.3	510.1	humpback_call	0.2161
6	Spectrogram 1	1	13.903	14.612	514.5	860.1	humpback_call	0.3296
7	Spectrogram 1	1	14.243	14.998	118.4	519.6	humpback_call	0.3331
8	Spectrogram 1	1	14.919	15.927	142.0	523.2	humpback_call	0.3272
9	Spectrogram 1	1	17.526	18.895	173.5	528.6	humpback_call	0.4025
10	Spectrogram 1	1	21.768	22.721	181.3	525.9	humpback_call	0.6015
11	Spectrogram 1	1	23.705	25.000	107.9	491.9	humpback_call	0.4348
12	Spectrogram 1	1	25.554	27.228	105.2	516.5	humpback_call	0.3545
13	Spectrogram 1	1	29.599	31.349	194.2	508.8	humpback_call	0.3081
14	Spectrogram 1	1	34.154	35.025	224.5	529.0	humpback_call	0.4683
15	Spectrogram 1	1	36.664	37.930	112.2	527.6	humpback_call	0.3202
16	Spectrogram 1	1	37.531	38.775	138.8	526.8	humpback_call	0.4225
17	Spectrogram 1	1	40.688	41.757	206.7	541.5	humpback_call	0.5018
18	Spectrogram 1	1	44.275	45.157	225.2	631.7	humpback_call	0.3098
19	Spectrogram 1	1	45.978	47.409	158.6	529.5	humpback_call	0.5272
20	Spectrogram 1	1	47.716	49.257	139.3	528.3	humpback_call	0.4190
21	Spectrogram 1	1	50.970	52.861	225.5	548.0	humpback_call	0.4797
22	Spectrogram 1	1	52.750	53.678	240.3	477.4	humpback_call	0.1738
23	Spectrogram 1	1	56.075	57.000	250.5	543.7	humpback_call	0.5770
24	Spectrogram 1	1	58.453	59.889	183.5	545.4	humpback_call	0.4147
25	Spectrogram 1	1	60.158	61.225	220.4	548.0	humpback_call	0.5521
26	Spectrogram 1	1	62.545	63.754	287.1	636.6	humpback_call	0.4060
27	Spectrogram 1	1	65.199	65.912	340.2	797.6	humpback_call	0.6454
28	Spectrogram 1	1	67.330	67.996	285.4	864.4	humpback_call	0.6836
29	Spectrogram 1	1	69.610	70.295	324.9	959.1	humpback_call	0.6130
30	Spectrogram 1	1	71.179	71.926	369.0	854.9	humpback_call	0.6022
31	Spectrogram 1	1	74.415	75.081	277.1	820.8	humpback_call	0.6874
32	Spectrogram 1	1	76.619	77.224	341.8	973.3	humpback_call	0.4556
33	Spectrogram 1	1	77.063	77.500	839.8	1903.7	humpback_call	0.1620
34	Spectrogram 1	1	78.826	79.423	392.4	972.5	humpback_call	0.4808
35	Spectrogram 1	1	79.361	79.754	1006.9	1912.2	humpback_call	0.1504
36	Spectrogram 1	1	80.703	81.299	347.7	998.3	humpback_call	0.5911
37	Spectrogram 1	1	81.279	81.836	1167.4	2181.4	humpback_call	0.2715
38	Spectrogram 1	1	84.000	85.724	388.1	813.1	humpback_call	0.3024
39	Spectrogram 1	1	89.675	90.187	423.2	816.2	humpback_call	0.4799
40	Spectrogram 1	1	91.622	92.476	1034.5	2410.8	humpback_call	0.4195
41	Spectrogram 1	1	94.019	95.178	1115.1	2515.4	humpback_call	0.4651
42	Spectrogram 1	1	95.847	96.987	1342.5	2389.9	humpback_call	0.5050
43	Spectrogram 1	1	99.072	99.750	313.7	839.7	humpback_call	0.6707
44	Spectrogram 1	1	99.907	100.966	520.8	773.3	humpback_call	0.1678
45	Spectrogram 1	1	101.250	102.072	1085.9	2340.5	humpback_call	0.3832
46	Spectrogram 1	1	102.697	103.593	54.5	260.2	humpback_call	0.2787
47	Spectrogram 1	1	103.244	104.210	1184.5	2340.9	humpback_call	0.2791
48	Spectrogram 1	1	104.743	105.713	1455.3	2421.8	humpback_call	0.3817
49	Spectrogram 1	1	107.460	109.369	404.9	839.5	humpback_call	0.3517
50	Spectrogram 1	1	109.320	110.236	472.3	766.5	humpback_call	0.1619
51	Spectrogram 1	1	110.034	111.281	453.4	759.2	humpback_call	0.1620
52	Spectrogram 1	1	113.117	113.744	351.0	839.7	humpback_call	0.6134
53	Spectrogram 1	1	115.033	116.077	1227.6	2368.3	humpback_call	0.4873
54	Spectrogram 1	1	117.544	118.746	1219.3	2403.1	humpback_call	0.4847
55	Spectrogram 1	1	119.194	120.299	1525.9	2453.9	humpback_call	0.3819
56	Spectrogram 1	1	122.122	122.767	336.5	888.4	humpback_call	0.6453
57	Spectrogram 1	1	124.256	125.106	1183.8	2416.6	humpback_call	0.5835
58	Spectrogram 1	1	126.432	127.520	1482.6	2415.1	humpback_call	0.4614
59	Spectrogram 1	1	127.856	129.021	1364.7	2367.4	humpback_call	0.5041
60	Spectrogram 1	1	130.864	131.389	368.2	879.5	humpback_call	0.1993
61	Spectrogram 1	1	131.268	132.922	401.2	766.4	humpback_call	0.4619
62	Spectrogram 1	1	132.500	132.965	243.4	838.4	humpback_call	0.2016
63	Spectrogram 1	1	132.793	133.639	460.7	767.9	humpback_call	0.1998
