Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,End File,batch,call_type,date,time,time_in_file,begin_time,end_time,call_length,filename,channel,audio_length,label
1,Spectrogram 1,1,678.634736784,678.634736784,3249.4,3249.4,5756.210428102958.wav,5756.210428102958.wav,119,Downsweeps,20210428,10:29:58,678.634736784,677.884736784,679.384736784,1.5,5756.210428102958,1,840.0201666666667,2
2,Spectrogram 1,1,691.830724821,691.830724821,2758.2,2758.2,5756.210428102958.wav,5756.210428102958.wav,119,,20210428,10:29:58,691.830724821,679.384736784,691.080724821,11.695988037000006,5756.210428102958,1,840.0201666666667,0
2,Spectrogram 1,1,691.830724821,691.830724821,2758.2,2758.2,5756.210428102958.wav,5756.210428102958.wav,119,Downsweeps,20210428,10:29:58,691.830724821,691.080724821,692.580724821,1.5,5756.210428102958,1,840.0201666666667,2
3,Spectrogram 1,1,700.86079892,700.86079892,3665.0,3665.0,5756.210428102958.wav,5756.210428102958.wav,119,,20210428,10:29:58,700.86079892,692.580724821,700.11079892,7.5300740989999895,5756.210428102958,1,840.0201666666667,0
3,Spectrogram 1,1,700.86079892,700.86079892,3665.0,3665.0,5756.210428102958.wav,5756.210428102958.wav,119,Downsweeps,20210428,10:29:58,700.86079892,700.11079892,701.61079892,1.5,5756.210428102958,1,840.0201666666667,2
4,Spectrogram 1,1,705.23718989,705.23718989,2833.8,2833.8,5756.210428102958.wav,5756.210428102958.wav,119,,20210428,10:29:58,705.23718989,701.61079892,704.48718989,2.8763909699999886,5756.210428102958,1,840.0201666666667,0
4,Spectrogram 1,1,705.23718989,705.23718989,2833.8,2833.8,5756.210428102958.wav,5756.210428102958.wav,119,Downsweeps,20210428,10:29:58,705.23718989,704.48718989,705.98718989,1.5,5756.210428102958,1,840.0201666666667,2
5,Spectrogram 1,1,2545.11581127,2545.11581127,2418.1,2418.1,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,25.115811269999995,24.365811269999995,25.865811269999995,1.5,5756.210428132958,1,840.0191666666667,2
6,Spectrogram 1,1,2587.419819762,2587.419819762,2191.4,2191.4,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,67.41981976199986,25.865811269999995,66.66981976199986,40.804008491999866,5756.210428132958,1,840.0191666666667,0
6,Spectrogram 1,1,2587.419819762,2587.419819762,2191.4,2191.4,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,67.41981976199986,66.66981976199986,68.16981976199986,1.5,5756.210428132958,1,840.0191666666667,2
7,Spectrogram 1,1,2606.462131612,2606.462131612,1964.7,1964.7,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,86.46213161200012,68.16981976199986,85.71213161200012,17.54231185000026,5756.210428132958,1,840.0191666666667,0
7,Spectrogram 1,1,2606.462131612,2606.462131612,1964.7,1964.7,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,86.46213161200012,85.71213161200012,87.21213161200012,1.5,5756.210428132958,1,840.0191666666667,2
8,Spectrogram 1,1,2618.756115403,2618.756115403,2002.5,2002.5,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,98.75611540299997,87.21213161200012,98.00611540299997,10.793983790999846,5756.210428132958,1,840.0191666666667,0
8,Spectrogram 1,1,2618.756115403,2618.756115403,2002.5,2002.5,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,98.75611540299997,98.00611540299997,99.50611540299997,1.5,5756.210428132958,1,840.0191666666667,2
9,Spectrogram 1,1,2678.408681592,2678.408681592,2002.5,2002.5,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,158.408681592,99.50611540299997,157.658681592,58.15256618900003,5756.210428132958,1,840.0191666666667,0
9,Spectrogram 1,1,2678.408681592,2678.408681592,2002.5,2002.5,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,158.408681592,157.658681592,159.158681592,1.5,5756.210428132958,1,840.0191666666667,2
10,Spectrogram 1,1,2704.342983404,2704.342983404,2115.9,2115.9,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,184.34298340399982,159.158681592,183.59298340399982,24.43430181199983,5756.210428132958,1,840.0191666666667,0
10,Spectrogram 1,1,2704.342983404,2704.342983404,2115.9,2115.9,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,184.34298340399982,183.59298340399982,185.09298340399982,1.5,5756.210428132958,1,840.0191666666667,2
11,Spectrogram 1,1,2712.828504826,2712.828504826,2191.4,2191.4,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,192.82850482599997,185.09298340399982,192.07850482599997,6.985521422000147,5756.210428132958,1,840.0191666666667,0
11,Spectrogram 1,1,2712.828504826,2712.828504826,2191.4,2191.4,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,192.82850482599997,192.07850482599997,193.57850482599997,1.5,5756.210428132958,1,840.0191666666667,2
12,Spectrogram 1,1,2739.554556545,2739.554556545,2229.2,2229.2,5756.210428132958.wav,5756.210428132958.wav,119,,20210428,13:29:58,219.5545565450002,193.57850482599997,218.8045565450002,25.226051719000225,5756.210428132958,1,840.0191666666667,0
12,Spectrogram 1,1,2739.554556545,2739.554556545,2229.2,2229.2,5756.210428132958.wav,5756.210428132958.wav,119,Downsweeps,20210428,13:29:58,219.5545565450002,218.8045565450002,220.3045565450002,1.5,5756.210428132958,1,840.0191666666667,2
1,Spectrogram 1,1,4232.412022001,4232.412022001,2061.1,2061.1,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,32.41202200099997,31.66202200099997,33.16202200099997,1.5,5756.210501072958,1,839.9938333333333,2
2,Spectrogram 1,1,4237.122488617,4237.122488617,2442.7,2442.7,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,37.12248861700027,33.16202200099997,36.37248861700027,3.2104666160003035,5756.210501072958,1,839.9938333333333,0
2,Spectrogram 1,1,4237.122488617,4237.122488617,2442.7,2442.7,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,37.12248861700027,36.37248861700027,37.87248861700027,1.5,5756.210501072958,1,839.9938333333333,2
3,Spectrogram 1,1,4242.233846008,4242.233846008,2671.8,2671.8,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,42.233846008,37.87248861700027,41.483846008,3.6113573909997285,5756.210501072958,1,839.9938333333333,0
3,Spectrogram 1,1,4242.233846008,4242.233846008,2671.8,2671.8,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,42.233846008,41.483846008,42.983846008,1.5,5756.210501072958,1,839.9938333333333,2
4,Spectrogram 1,1,4247.412018529,4247.412018529,2404.6,2404.6,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,47.412018529000306,42.983846008,46.662018529000306,3.678172521000306,5756.210501072958,1,839.9938333333333,0
4,Spectrogram 1,1,4247.412018529,4247.412018529,2404.6,2404.6,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,47.412018529000306,46.662018529000306,48.162018529000306,1.5,5756.210501072958,1,839.9938333333333,2
5,Spectrogram 1,1,4260.083517176,4260.083517176,2175.6,2175.6,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,60.08351717599999,48.162018529000306,59.33351717599999,11.17149864699968,5756.210501072958,1,839.9938333333333,0
5,Spectrogram 1,1,4260.083517176,4260.083517176,2175.6,2175.6,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,60.08351717599999,59.33351717599999,60.83351717599999,1.5,5756.210501072958,1,839.9938333333333,2
6,Spectrogram 1,1,4263.557903899,4263.557903899,2137.4,2137.4,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,63.55790389899994,60.83351717599999,62.80790389899994,1.9743867229999523,5756.210501072958,1,839.9938333333333,0
6,Spectrogram 1,1,4263.557903899,4263.557903899,2137.4,2137.4,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,63.55790389899994,62.80790389899994,64.30790389899994,1.5,5756.210501072958,1,839.9938333333333,2
7,Spectrogram 1,1,4280.929837517,4280.929837517,1870.2,1870.2,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,80.92983751700012,64.30790389899994,80.17983751700012,15.871933618000185,5756.210501072958,1,839.9938333333333,0
7,Spectrogram 1,1,4280.929837517,4280.929837517,1870.2,1870.2,5756.210501072958.wav,5756.210501072958.wav,123,Downsweeps,20210501,07:29:58,80.92983751700012,80.17983751700012,81.67983751700012,1.5,5756.210501072958,1,839.9938333333333,2
8,Spectrogram 1,1,4293.190413744,4293.190413744,1984.7,1984.7,5756.210501072958.wav,5756.210501072958.wav,123,,20210501,07:29:58,93.19041374399967,81.67983751700012,92.44041374399967,10.760576226999547,5756.210501072958,1,839.9938333333333,0
