,begin_time,end_time,filename,call_length,label
97,176.4829878,176.5827376,180912_075945,0.099749886,0
60,99.77330285,100.0089254,180912_075945,0.235622539,0
1042,90.92975198,90.95062154,180912_155430,0.020869557,0
383,533.8826155,534.1329807,180912_083838,0.250365174,0
1082,689.9742985,691.8389575,180914_125804,1.864659031,0
1013,21.89847249,22.42479372,180912_155430,0.526321232,0
605,87.70751096,88.95671349,180912_092922,1.249202531,0
819,672.4166497,672.7961632,180912_092922,0.379513466,0
238,23.34382652,23.57021048,180912_083838,0.22638396,0
1243,190.358787,190.6412316,180916_112552,0.282444582,0
935,887.5438538,887.8256413,180912_092922,0.281787537,0
1161,267.900178,314.0537713,180914_150127,46.15359331,0
1268,262.5798115,263.3650074,180916_112552,0.785195936,0
1124,1665.029993,1666.898235,180914_125804,1.868241335,0
1017,32.48620201,32.62672141,180912_155430,0.140519392,0
704,368.4010806,368.6701396,180912_092922,0.269059007,0
1304,351.2390904,351.4819896,180916_112552,0.242899217,0
852,733.2151551,733.3782295,180912_092922,0.163074384,0
103,187.6329548,188.010487,180912_075945,0.377532175,0
839,706.6922386,706.7330103,180912_092922,0.040771771,0
1137,3157.83686,3161.268941,180914_125804,3.432080962,0
50,85.37658268,85.64165778,180912_075945,0.265075106,0
925,860.5401427,860.580807,180912_092922,0.040664333,0
606,89.2642095,89.62936101,180912_092922,0.365151509,0
123,269.3967185,269.4825798,180912_075945,0.085861242,0
1323,379.9297874,380.2065807,180916_112552,0.276793284,0
90,165.7686369,165.8804795,180912_075945,0.111842638,0
1078,671.1448724,673.6206242,180914_125804,2.475751842,0
15,16.9357411,16.98157746,180912_073707,0.045836356,0
934,884.8592478,884.9181062,180912_092922,0.058858469,0
1039,81.03759046,81.44454681,180912_155430,0.406956356,0
1326,385.5560811,386.0927188,180916_112552,0.536637713,0
1296,331.7504363,332.0780679,180916_112552,0.32763164,0
32,38.46471535,38.79614746,180912_073707,0.331432107,0
798,621.3095017,622.1150042,180912_092922,0.805502437,0
1114,1650.062956,1651.197212,180914_125804,1.134255343,0
421,697.6147681,699.290674,180912_083838,1.675905932,0
1311,361.9889209,362.6611343,180916_112552,0.672213351,0
1132,3142.45544,3145.778346,180914_125804,3.322905753,0
908,827.4902257,827.9198145,180912_092922,0.429588767,0
1214,133.0744216,133.4019599,180916_112552,0.327538305,0
486,876.0378183,876.7710271,180912_083838,0.733208845,0
919,846.8597884,847.3669801,180912_092922,0.507191691,0
133,288.0793037,288.4718136,180912_075945,0.392509892,0
770,550.3432529,551.1865543,180912_092922,0.843301463,0
879,778.6745042,780.3102024,180912_092922,1.635698226,0
942,905.8866106,906.0265613,180912_092922,0.13995069,0
1035,66.34427989,66.46949225,180912_155430,0.125212361,0
48,82.76865711,82.77668895,180912_075945,0.008031834,0
794,610.5882577,611.3084332,180912_092922,0.720175464,0
680,281.1055047,282.3497632,180912_092922,1.244258427,0
105,196.367102,197.0927157,180912_075945,0.725613702,0
887,792.9285718,793.9341972,180912_092922,1.005625369,0
808,649.0272219,651.8025968,180912_092922,2.775374884,0
1142,3172.708415,3173.009708,180914_125804,0.301292767,0
1187,62.93128995,63.083077,180916_112552,0.151787041,0
362,467.9342999,468.1431956,180912_083838,0.20889563,0
766,536.0762194,536.6524873,180912_092922,0.576267967,0
821,673.5841217,673.8388188,180912_092922,0.254697049,0
1294,327.3104075,327.3668964,180916_112552,0.056488916,0
1293,324.7062733,325.0734464,180916_112552,0.367173076,0
809,652.6866478,653.9124692,180912_092922,1.225821425,0
776,567.3088197,567.9622488,180912_092922,0.653429015,0
483,868.1520784,868.3914935,180912_083838,0.239415133,0
785,587.745655,588.6681431,180912_092922,0.922488022,0
769,547.2654379,549.1901428,180912_092922,1.924704967,0
815,665.7437789,665.7822159,180912_092922,0.038437001,0
248,49.66745151,49.77273163,180912_083838,0.105280117,0
138,301.4358148,301.6665827,180912_075945,0.230767946,0
728,442.8887897,444.1572107,180912_092922,1.268421031,0
1116,1653.02389,1655.391319,180914_125804,2.367428303,0
739,470.0889113,473.8551792,180912_092922,3.766267967,0
1324,380.7432254,380.9239923,180916_112552,0.180766938,0
1112,1644.985185,1648.381357,180914_125804,3.396171521,0
834,697.8046846,698.3210868,180912_092922,0.516402216,0
746,486.1855974,486.9351189,180912_092922,0.749521518,0
658,225.2466133,225.6309833,180912_092922,0.384370009,0
823,676.8128298,676.9665778,180912_092922,0.153748003,0
1020,38.84867238,39.04693317,180912_155430,0.198260789,0
812,660.4586912,660.7469687,180912_092922,0.288277507,0
92,166.9408013,166.981069,180912_075945,0.040267762,0
1091,710.5727033,711.4265968,180914_125804,0.853893484,0
1252,212.9769351,214.287472,180916_112552,1.31053684,0
1219,143.983044,144.014999,180916_112552,0.031954957,0
751,498.2357569,499.3504299,180912_092922,1.114673027,0
1107,1631.637866,1632.336884,180914_125804,0.699017827,0
1122,1662.482391,1663.306116,180914_125804,0.823724589,0
688,312.0962161,313.1718781,180912_092922,1.075661931,0
51,87.45971075,87.6685571,180912_075945,0.208846343,0
58,98.18016589,98.24442696,180912_075945,0.064261077,0
1026,50.29561077,50.34778466,180912_155430,0.052173891,0
1109,1635.673705,1638.153275,180914_125804,2.479570336,0
213,455.4403433,455.5871971,180912_075945,0.14685381,0
429,725.5584581,725.5734215,180912_083838,0.014963446,0
696,346.2962161,347.8144777,180912_092922,1.518261536,0
620,139.9961042,143.6567741,180912_092922,3.660669917,0
729,446.6614378,446.8670193,180912_092922,0.205581543,0
890,798.5450367,799.7137364,180912_092922,1.168699752,0
774,559.8507489,561.9084211,180912_092922,2.057672239,0
27,30.7994733,30.83825791,180912_073707,0.038784608,0
975,965.8056654,966.0746444,180912_092922,0.268979013,0
768,543.2323119,545.6318653,180912_092922,2.399553458,0
1200,90.61626546,90.64422622,180916_112552,0.027960758,0
856,741.744474,742.0434457,180912_092922,0.298971672,0
1236,176.5133619,176.9370288,180916_112552,0.423666872,0
1282,295.6540439,295.7783196,180916_112552,0.124275616,0
1134,3151.580451,3152.320317,180914_125804,0.739865735,0
972,961.7171758,961.8580696,180912_092922,0.140893769,0
647,205.7173628,206.3131363,180912_092922,0.595773514,0
634,167.7598202,168.4885325,180912_092922,0.728712235,0
987,985.9462642,986.4714137,180912_092922,0.525149501,0
82,147.9812265,148.2436255,180912_075945,0.262399021,0
131,283.6207981,284.0638933,180912_075945,0.443095206,0
1186,59.7557653,59.85163101,180916_112552,0.095865711,0
1315,369.9708001,370.0894268,180916_112552,0.118626724,0
1128,1671.445704,1672.099588,180914_125804,0.653884467,0
237,22.19611249,22.29087787,180912_083838,0.094765379,0
393,575.5508016,575.6405823,180912_083838,0.089780675,0
750,495.8732529,497.6207648,180912_092922,1.747511978,0
916,838.5578456,838.8838974,180912_092922,0.326051801,0
496,895.2125769,895.6704826,180912_083838,0.457905701,0
1092,713.343536,713.4829497,180914_125804,0.13941376,0
978,968.8028601,969.1743073,180912_092922,0.371447208,0
1053,117.6533983,117.6867062,180912_155430,0.033307889,0
1251,203.8539814,203.9952009,180916_112552,0.141219501,0
300,217.8880679,218.7340952,180912_083838,0.846027301,0
1148,3191.423307,3202.891375,180914_125804,11.46806792,0
575,30.84093711,31.08255007,180912_092922,0.241612963,0
684,298.6993496,298.8593581,180912_092922,0.160008501,0
825,683.8275825,685.0191276,180912_092922,1.191545124,0
1111,1638.667647,1644.352113,180914_125804,5.68446573,0
139,304.1787878,304.8685937,180912_075945,0.689805948,0
822,674.9919288,675.2753498,180912_092922,0.283420964,0
1199,90.20883977,90.26476094,180916_112552,0.055921174,0
786,589.2639166,590.8590521,180912_092922,1.595135538,0
215,460.4228819,461.3040019,180912_075945,0.881120024,0
1173,21.0063883,21.03834325,180916_112552,0.031954957,0
782,583.4599294,584.2478879,180912_092922,0.787958519,0
818,671.3596322,671.3980692,180912_092922,0.038437001,0
434,748.9981511,749.0131146,180912_083838,0.014963446,0
1274,277.3968489,277.6566919,180916_112552,0.259843034,0
540,1006.708038,1006.855749,180912_083838,0.147711517,0
954,932.8821907,932.9334248,180912_092922,0.051234097,0
1222,147.8176382,148.8561743,180916_112552,1.03853609,0
646,204.5258158,205.0254968,180912_092922,0.499681012,0
748,489.4638749,490.9436994,180912_092922,1.479824535,0
944,909.4986145,909.6779377,180912_092922,0.179323173,0
495,891.5100213,891.6147654,180912_083838,0.104744121,0
855,739.6294142,739.9642453,180912_092922,0.334831103,0
610,94.28093381,95.41482534,180912_092922,1.133891527,0
388,556.1625061,556.3869578,180912_083838,0.224451687,0
663,239.0039417,239.3816752,180912_092922,0.377733488,0
1209,119.1021129,119.2339271,180916_112552,0.131814196,0
1010,15.38076719,16.04560619,180912_155430,0.664839004,0
121,264.662086,264.7929222,180912_075945,0.130836178,0
708,377.9284171,378.2166946,180912_092922,0.288277507,0
802,632.6369668,634.3265043,180912_092922,1.689537488,0
806,644.9528998,645.1450848,180912_092922,0.192185005,0
692,329.4232496,330.9222927,180912_092922,1.499043036,0
1011,17.30466575,17.31488558,180912_155430,0.01021983,0
1121,1660.82645,1662.219139,180914_125804,1.392688995,0
853,733.595662,733.9218108,180912_092922,0.326148768,0
633,165.9148442,167.1448282,180912_092922,1.22998403,0
1163,334.0528911,348.629116,180914_150127,14.57622488,0
599,76.68292645,77.07841291,180912_092922,0.395486467,0
12,12.72938578,12.76463764,180912_073707,0.035251867,0
731,451.5763978,451.6340533,180912_092922,0.057655501,0
578,38.66353142,39.5869764,180912_092922,0.923444986,0
977,967.432348,967.970306,180912_092922,0.537958026,0
2,2.799543536,2.82422465,180912_073707,0.024681114,0
76,136.5695389,137.2696686,180912_075945,0.700129727,0
789,600.1510938,600.6833124,180912_092922,0.532218566,0
