Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	209.229079953	209.229079953	10764.567	10764.567	
3	Spectrogram 1	1	213.319947531	213.822485919	68.625	782.330	
4	Spectrogram 1	1	214.841268537	215.429956362	528.416	748.018	
5	Spectrogram 1	1	11.503209839	11.895668389	500.966	720.567	sc
6	Spectrogram 1	1	14.283828451	14.949093555	480.378	699.980	un
7	Spectrogram 1	1	17.344633153	17.756236022	494.103	665.667	un
8	Spectrogram 1	1	10.493394063	11.460182199	597.042	809.780	un
9	Spectrogram 1	1	24.574254626	25.162942452	610.767	734.292	sc
10	Spectrogram 1	1	24.971499256	25.349599567	418.615	542.141	sc
11	Spectrogram 1	1	27.956662402	28.358693112	494.103	672.530	un
12	Spectrogram 1	1	37.449522690	37.865911640	452.928	720.567	sc
13	Spectrogram 1	1	45.182160757	45.746918183	645.079	823.506	un
14	Spectrogram 1	1	65.650305124	66.267709429	456.575	633.754	un
15	Spectrogram 1	1	73.456945153	74.007344339	170.364	388.430	sc
16	Spectrogram 1	1	76.368323320	77.038374503	170.364	381.615	sc
17	Spectrogram 1	1	80.946391754	81.554223899	258.953	354.357	sc
18	Spectrogram 1	1	82.640664031	83.506944490	122.662	333.913	sc
19	Spectrogram 1	1	83.486695165	83.979661392	497.463	674.641	sc
20	Spectrogram 1	1	86.300663974	86.884565719	177.178	347.542	sc
21	Spectrogram 1	1	86.937212598	87.262666030	367.986	477.019	un
22	Spectrogram 1	1	91.017483516	91.707164988	156.735	313.470	un
23	Spectrogram 1	1	91.697592828	92.200131215	143.106	286.211	sc
24	Spectrogram 1	1	92.371041428	92.959729254	190.808	442.946	un
25	Spectrogram 1	1	92.931012774	93.270824446	190.808	333.913	un
26	Spectrogram 1	1	93.653710836	94.352478499	149.920	327.099	sc
27	Spectrogram 1	1	94.159684604	94.805805388	538.350	661.012	un
28	Spectrogram 1	1	96.479335101	97.135028045	149.920	354.357	sc
29	Spectrogram 1	1	97.556394568	97.934494878	129.477	258.953	un
30	Spectrogram 1	1	100.129533186	100.852231248	163.549	272.582	sc
31	Spectrogram 1	1	101.705472174	102.169721923	272.582	374.801	un
32	Spectrogram 1	1	102.394667677	103.122151819	177.178	306.655	sc
33	Spectrogram 1	1	102.380309437	102.791912307	340.728	538.350	un
34	Spectrogram 1	1	104.711858106	105.133033135	538.350	654.197	un
35	Spectrogram 1	1	106.449205102	107.061823327	177.178	374.801	sc
36	Spectrogram 1	1	109.362426869	109.716596780	231.695	388.430	sc
37	Spectrogram 1	1	109.884109576	110.477583481	115.847	258.953	sc
38	Spectrogram 1	1	110.716887475	111.425227297	102.218	272.582	sc
39	Spectrogram 1	1	112.037301412	112.563770199	204.437	381.615	sc
40	Spectrogram 1	1	112.908367950	113.176388424	163.549	306.655	sc
41	Spectrogram 1	1	114.781844962	115.614622861	136.291	354.357	sc
42	Spectrogram 1	1	116.662774355	117.433333216	620.125	804.118	un
43	Spectrogram 1	1	118.658476792	119.429035653	102.218	381.615	sc
44	Spectrogram 1	1	121.501963618	122.186373040	129.477	374.801	sc
45	Spectrogram 1	1	123.168876329	124.011226388	293.026	497.463	un
46	Spectrogram 1	1	124.633416773	125.011517083	197.622	347.542	sc
47	Spectrogram 1	1	125.543308224	126.170284688	81.775	408.873	sc
48	Spectrogram 1	1	127.873576389	128.194243741	749.601	913.151	un
49	Spectrogram 1	1	127.481117839	127.787426952	1785.414	1921.705	un
50	Spectrogram 1	1	128.572344052	128.893011404	572.423	708.714	un
51	Spectrogram 1	1	129.394674950	129.619620705	143.106	374.801	sc
52	Spectrogram 1	1	129.471252228	129.830208219	333.913	463.390	sc
53	Spectrogram 1	1	130.801782435	131.328251222	88.589	586.052	sc
