Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	268.057270589	269.562291273	11950.189	22050.000	1.5050	10099.811	-76.93	d
2	Spectrogram 1	1	504.571024879	506.270241780	11118.113	22050.000	1.6992	10931.887	-77.00	d
3	Spectrogram 1	1	556.116048151	557.669617889	11034.906	22050.000	1.5536	11015.094	-71.09	d
4	Spectrogram 1	1	560.169894187	561.844836561	10785.283	22050.000	1.6749	11264.717	-68.46	d
5	Spectrogram 1	1	566.117153341	567.840644769	11201.321	22050.000	1.7235	10848.679	-71.38	d
6	Spectrogram 1	1	596.986260091	598.539829830	12033.396	22050.000	1.5536	10016.604	-73.97	d
7	Spectrogram 1	1	606.647521901	608.103993530	12199.811	22050.000	1.4565	9850.189	-72.84	d
8	Spectrogram 1	1	625.570042391	627.099337602	11034.906	22050.000	1.5293	11015.094	-75.46	d
9	Spectrogram 1	1	631.323105328	632.828126012	11367.736	22050.000	1.5050	10682.264	-75.58	d
10	Spectrogram 1	1	647.392842307	648.873588464	11450.943	22050.000	1.4807	10599.057	-71.11	d
11	Spectrogram 1	1	662.231614291	663.323968013	8039.434	17109.057	1.0924	9069.623	-60.64	d
12	Spectrogram 1	1	661.794672802	663.372517068	8205.849	22050.000	1.5778	13844.151	-63.99	d
13	Spectrogram 1	1	672.159895899	673.737740165	11118.113	22050.000	1.5778	10931.887	-68.37	d
14	Spectrogram 1	1	681.893981290	683.690296300	11284.528	22050.000	1.7963	10765.472	-64.98	d
15	Spectrogram 1	1	693.667126963	695.099324065	12148.302	22050.000	1.4322	9901.698	-74.70	d
16	Spectrogram 1	1	702.041838833	703.546859516	12065.094	22050.000	1.5050	9984.906	-69.76	d
17	Spectrogram 1	1	0.536884515	1.460183495	198.574	353.020	0.9233	154.446	-43.69	
18	Spectrogram 1	1	4.611527887	4.897620528	279.474	360.374	0.2861	80.900	-36.62	
19	Spectrogram 1	1	7.083000525	7.544650015	205.928	257.410	0.4616	51.482	-47.10	
20	Spectrogram 1	1	8.155847931	8.402927939	205.928	272.119	0.2471	66.191	-48.25	
21	Spectrogram 1	1	10.958372730	11.641093806	205.928	411.856	0.6827	205.928	-44.67	
22	Spectrogram 1	1	12.551388575	13.617733875	3106.258	3480.692	1.0663	374.434	-65.42	
23	Spectrogram 1	1	13.318637022	13.793290723	2137.340	2438.968	0.4747	301.628	-62.45	
24	Spectrogram 1	1	14.606053909	15.275770775	220.637	382.438	0.6697	161.801	-48.17	
25	Spectrogram 1	1	14.183294013	14.404365600	220.637	294.183	0.2211	73.546	-45.83	
26	Spectrogram 1	1	17.550183511	18.323934064	978.159	1147.314	0.7738	169.155	-59.40	
27	Spectrogram 1	1	18.187389849	18.629533022	1365.249	1960.970	0.4421	595.721	-55.97	
28	Spectrogram 1	1	19.865577787	20.457269387	191.219	387.090	0.5917	195.871	-47.29	
29	Spectrogram 1	1	21.185505201	21.634150480	205.928	323.601	0.4486	117.673	-53.88	
30	Spectrogram 1	1	24.228688245	24.553793520	279.474	367.729	0.3251	88.255	-38.45	
31	Spectrogram 1	1	26.998585183	27.739825209	154.446	330.956	0.7412	176.510	-52.75	
32	Spectrogram 1	1	27.952725811	28.394868984	102.964	191.219	0.4421	88.255	-49.11	
33	Spectrogram 1	1	27.627620536	27.991738444	948.741	1147.314	0.3641	198.573	-60.08	
34	Spectrogram 1	1	29.838336403	30.500030640	198.574	397.147	0.6617	198.573	-50.97	
35	Spectrogram 1	1	30.519536956	30.812131703	161.801	257.410	0.2926	95.609	-55.26	
36	Spectrogram 1	1	33.321944422	33.822606545	264.765	426.566	0.5007	161.801	-46.07	
37	Spectrogram 1	1	32.886303354	33.686062330	1529.752	1993.091	0.7998	463.339	-57.54	
38	Spectrogram 1	1	34.819264215	36.119685313	213.283	338.311	1.3004	125.028	-56.55	
39	Spectrogram 1	1	38.453941184	39.175674893	191.219	367.729	0.7217	176.510	-49.10	
40	Spectrogram 1	1	35.430462131	36.568330592	1566.371	2801.940	1.1379	1235.569	-59.98	
41	Spectrogram 1	1	35.918120043	36.483803220	713.394	1162.023	0.5657	448.629	-60.54	
42	Spectrogram 1	1	40.601128152	41.634962925	242.701	360.374	1.0338	117.673	-54.21	
43	Spectrogram 1	1	40.848208161	40.971748165	1879.317	2261.755	0.1235	382.438	-55.24	
44	Spectrogram 1	1	44.274817753	44.515395656	1489.524	2129.373	0.2406	639.849	-58.22	
45	Spectrogram 1	1	43.787159842	43.943210373	278.123	351.669	0.1561	73.546	-41.22	
46	Spectrogram 1	1	44.934869003	45.220961645	2035.713	2513.760	0.2861	478.047	-61.99	
47	Spectrogram 1	1	45.955699565	46.417349055	2300.478	2660.852	0.4616	360.374	-57.73	
48	Spectrogram 1	1	48.355178636	49.577574468	205.928	367.729	1.2224	161.801	-52.53	
49	Spectrogram 1	1	48.764811282	49.245967088	3897.157	6821.269	0.4812	2924.112	-69.06	
51	Spectrogram 1	1	47.334348074	47.893529146	742.812	7431.699	0.5592	6688.887	-60.29	
52	Spectrogram 1	1	51.814302735	52.366981702	227.992	360.374	0.5527	132.382	-55.31	
53	Spectrogram 1	1	52.458011178	53.082213305	227.992	411.856	0.6242	183.864	-51.37	
54	Spectrogram 1	1	55.943139721	56.716890274	1345.888	1684.198	0.7738	338.310	-49.76	
56	Spectrogram 1	1	52.321466963	52.497023811	492.757	2780.030	0.1756	2287.273	-59.54	
57	Spectrogram 1	1	59.300037083	60.242842379	1691.553	2574.102	0.9428	882.549	-65.06	
58	Spectrogram 1	1	56.959279107	57.329899120	286.829	404.502	0.3706	117.673	-43.42	
