git pullSelection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	15.579185908	16.544215979	238.716	488.283	0.9650	249.567	-47.41	
2	Spectrogram 1	1	7.589431024	8.548391724	238.716	434.030	0.9590	195.314	-49.47	
3	Spectrogram 1	1	11.576752927	12.116926992	314.672	499.134	0.5402	184.462	-48.26	un
4	Spectrogram 1	1	18.553050856	19.159988009	282.119	434.030	0.6069	151.911	-46.50	
5	Spectrogram 1	1	25.865921509	26.539717429	238.716	444.880	0.6738	206.164	-49.37	
6	Spectrogram 1	1	26.672759936	27.316514000	282.119	423.179	0.6438	141.060	-47.46	
7	Spectrogram 1	1	29.710215352	30.255260460	249.567	412.328	0.5450	162.761	-44.96	
8	Spectrogram 1	1	33.606009520	33.936469940	292.970	455.731	0.3305	162.761	-36.58	
9	Spectrogram 1	1	37.840846446	38.398766635	227.866	390.627	0.5579	162.761	-34.89	
10	Spectrogram 1	1	40.536042512	41.227005208	217.015	401.478	0.6910	184.463	-34.97	
11	Spectrogram 1	1	44.540205176	45.089541977	249.567	444.880	0.5493	195.313	-38.14	
12	Spectrogram 1	1	48.023996743	48.474624588	184.463	390.627	0.4506	206.164	-42.48	
13	Spectrogram 1	1	51.236335453	52.004548636	162.761	401.478	0.7682	238.717	-41.83	
14	Spectrogram 1	1	55.074191246	55.602069579	249.567	531.686	0.5279	282.119	-44.65	un
15	Spectrogram 1	1	58.686733626	59.424904953	162.761	368.925	0.7382	206.164	-42.33	
16	Spectrogram 1	1	59.574050469	59.887344113	151.910	282.119	0.3133	130.209	-45.20	
17	Spectrogram 1	1	62.110441481	62.870071276	173.612	368.925	0.7596	195.313	-39.70	
18	Spectrogram 1	1	65.540782679	66.124453030	206.164	412.328	0.5837	206.164	-42.67	
19	Spectrogram 1	1	68.901191278	69.523486873	184.463	379.776	0.6223	195.313	-42.60	
20	Spectrogram 1	1	69.596445667	70.218741262	130.209	303.821	0.6223	173.612	-46.73	
21	Spectrogram 1	1	72.453649945	73.196112966	184.463	347.224	0.7425	162.761	-39.94	
22	Spectrogram 1	1	76.306527176	76.907364302	195.313	401.478	0.6008	206.165	-41.68	
23	Spectrogram 1	1	79.898687238	80.829984784	151.910	368.925	0.9313	217.015	-42.51	
24	Spectrogram 1	1	83.207583127	83.731169766	199.488	352.941	0.5236	153.453	-36.99	
25	Spectrogram 1	1	87.163460804	87.455295980	237.852	368.286	0.2918	130.434	-39.10	
26	Spectrogram 1	1	93.499088719	94.177176333	168.798	345.269	0.6781	176.471	-39.43	
27	Spectrogram 1	1	97.230735184	97.874489248	199.488	352.941	0.6438	153.453	-37.42	
28	Spectrogram 1	1	100.505309841	101.535316343	184.143	345.269	1.0300	161.126	-44.12	
29	Spectrogram 1	1	103.938664848	104.488001650	191.816	345.269	0.5493	153.453	-36.88	
30	Spectrogram 1	1	107.490060175	108.039396976	207.161	368.286	0.5493	161.125	-38.79	
31	Spectrogram 1	1	112.610063149	113.313900925	184.143	368.286	0.7038	184.143	-38.48	
32	Spectrogram 1	1	116.488690491	117.020860517	237.852	383.632	0.5322	145.780	-40.21	
33	Spectrogram 1	1	120.001447729	120.628035018	291.560	406.650	0.6266	115.090	-50.52	
34	Spectrogram 1	1	122.508885337	122.886554388	245.524	375.959	0.3777	130.435	-35.29	
35	Spectrogram 1	1	126.191158583	126.834912647	237.852	352.941	0.6438	115.089	-38.39	
36	Spectrogram 1	1	129.207782809	129.921116044	130.271	253.685	0.7133	123.414	-43.38	
