Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.844988688	1.427800592	129.339	383.556	0.5828	254.217	-51.38	
7	Spectrogram 1	1	4.483573305	4.989363591	183.864	349.342	0.5058	165.478	-51.32	
8	Spectrogram 1	1	9.637583320	10.074470167	183.864	349.342	0.4369	165.478	-47.69	
9	Spectrogram 1	1	13.097306569	13.545593027	191.219	334.633	0.4483	143.414	-54.08	
10	Spectrogram 1	1	17.709311901	18.123148537	180.187	323.601	0.4138	143.414	-51.99	
11	Spectrogram 1	1	21.044137563	21.557601538	176.510	338.311	0.5135	161.801	-54.88	
12	Spectrogram 1	1	25.179414247	25.745596110	75.366	457.581	0.5662	382.215	-60.75	
13	Spectrogram 1	1	28.433711394	28.904694536	86.133	425.281	0.4710	339.148	-60.09	
14	Spectrogram 1	1	30.101711059	30.963993169	78.303	361.624	0.8623	283.321	-57.06	
15	Spectrogram 1	1	36.181948887	36.444125671	239.814	418.723	0.2622	178.909	-59.14	
16	Spectrogram 1	1	40.427382589	40.722999667	247.632	441.431	0.2956	193.799	-57.55	
17	Spectrogram 1	1	43.816960831	44.140135434	236.865	457.581	0.3232	220.716	-61.45	
18	Spectrogram 1	1	48.271263654	48.699658327	193.799	462.964	0.4284	269.165	-63.93	
19	Spectrogram 1	1	51.337668157	51.984017363	199.182	484.497	0.6463	285.315	-64.69	
20	Spectrogram 1	1	52.968574493	53.812836828	53.833	290.698	0.8443	236.865	-57.27	
21	Spectrogram 1	1	55.182592019	55.616292004	263.782	495.264	0.4337	231.482	-61.18	
22	Spectrogram 1	1	60.734792959	61.428741525	72.325	258.398	0.6939	186.073	-55.80	
23	Spectrogram 1	1	46.108972468	46.953234803	89.454	245.524	0.8443	156.070	-55.78	
24	Spectrogram 1	1	48.778456644	49.086599870	87.551	424.432	0.3081	336.881	-60.19	
25	Spectrogram 1	1	52.496219573	52.884530143	163.682	468.208	0.3883	304.526	-61.27	
26	Spectrogram 1	1	65.360252658	65.613280835	213.168	456.788	0.2530	243.620	-56.04	
27	Spectrogram 1	1	69.551502137	69.789498938	129.199	495.264	0.2380	366.065	-63.87	
28	Spectrogram 1	1	72.602872965	72.718113521	226.099	489.880	0.1152	263.781	-62.94	
29	Spectrogram 1	1	73.596192967	74.545674940	473.730	1012.061	0.9495	538.331	-69.53	
30	Spectrogram 1	1	76.637537219	76.740251628	209.949	462.964	0.1027	253.015	-58.80	
