Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.379709307	0.937024579	9672.632	11152.400	d
2	Spectrogram 1	1	1.016641047	1.561707632	8301.139	10899.756	d
3	Spectrogram 1	1	1.751562285	2.412991400	8445.507	12776.536	d
4	Spectrogram 1	1	4.176802372	4.617755115	9239.529	14220.212	d
5	Spectrogram 1	1	4.813734112	5.371049384	9600.448	13209.639	d
6	Spectrogram 1	1	10.801122412	11.131836970	9636.540	10574.929	d
7	Spectrogram 1	1	11.297194248	11.946374675	8914.701	11549.411	d
8	Spectrogram 1	1	3.252026480	3.760347003	378.965	1172.987	
9	Spectrogram 1	1	5.475163227	7.177730762	397.011	739.884	
10	Spectrogram 1	1	7.275720829	7.679927510	415.057	1281.263	
11	Spectrogram 1	1	9.137521300	10.772721056	451.149	1172.987	
12	Spectrogram 1	1	14.208477959	14.790290606	342.873	1100.803	
13	Spectrogram 1	1	17.858587314	19.432543633	378.965	631.608	
14	Spectrogram 1	1	19.616273943	20.038853655	451.149	1191.033	
15	Spectrogram 1	1	21.906778891	22.807057408	415.057	1227.125	
16	Spectrogram 1	1	25.213924464	25.832483173	415.057	1209.079	
17	Spectrogram 1	1	26.199944268	26.763383884	126.322	523.333	
18	Spectrogram 1	1	27.063476723	29.072261441	451.149	721.838	
19	Spectrogram 1	1	29.102883159	29.390727311	541.379	1209.079	
20	Spectrogram 1	1	30.829948070	32.011946395	397.011	1046.665	
21	Spectrogram 1	1	34.179964555	34.786274577	288.735	523.333	
22	Spectrogram 1	1	34.921010137	35.606936626	397.011	1245.171	
23	Spectrogram 1	1	36.205440129	37.669158262	144.368	595.516	
24	Spectrogram 1	1	39.304358018	41.037547272	378.965	1046.665	
25	Spectrogram 1	1	41.037547272	41.172282832	469.195	902.298	
26	Spectrogram 1	1	42.764612556	44.050724724	378.965	1028.619	
27	Spectrogram 1	1	47.504854544	48.129537597	360.919	1245.171	
28	Spectrogram 1	1	50.318444506	52.308856193	469.195	974.482	
29	Spectrogram 1	1	53.772144066	55.223613512	397.011	685.746	
30	Spectrogram 1	1	55.364473416	55.756431410	451.149	1281.263	
31	Spectrogram 1	1	58.420520899	59.241182949	360.919	1353.447	
32	Spectrogram 1	1	61.917521567	64.012047097	415.057	1082.757	
