Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4.203616619	4.716252792	330.827	473.684	0.5126	142.857	-47.23	
6	Spectrogram 1	1	7.452928007	8.359149293	263.158	481.203	0.9062	218.045	-47.68	
7	Spectrogram 1	1	15.494899640	16.546116332	263.158	421.053	1.0512	157.895	-45.30	
8	Spectrogram 1	1	18.519989012	19.127157273	278.195	451.128	0.6072	172.933	-45.51	
9	Spectrogram 1	1	26.188720405	27.176501607	263.158	451.128	0.9878	187.970	-41.96	
10	Spectrogram 1	1	33.585585413	34.084007120	255.639	466.165	0.4984	210.526	-39.29	
11	Spectrogram 1	1	37.761575817	38.386868504	225.564	383.459	0.6253	157.895	-37.67	
12	Spectrogram 1	1	40.474966500	41.190881316	210.526	443.609	0.7159	233.083	-38.37	
13	Spectrogram 1	1	44.538626899	45.009861967	270.677	421.053	0.4712	150.376	-39.45	
14	Spectrogram 1	1	47.719463611	48.290383021	225.564	383.459	0.5709	157.895	-38.33	
15	Spectrogram 1	1	51.306615768	51.922846242	165.414	390.977	0.6162	225.563	-41.50	
16	Spectrogram 1	1	55.257740573	55.529606959	240.602	556.391	0.2719	315.789	-44.66	
17	Spectrogram 1	1	58.592634904	59.480731764	172.932	353.383	0.8881	180.451	-41.81	
18	Spectrogram 1	1	62.141643426	62.748811687	157.895	398.496	0.6072	240.601	-41.29	
19	Spectrogram 1	1	65.725006543	66.159992760	240.602	428.571	0.4350	187.969	-42.67	
20	Spectrogram 1	1	68.896781043	69.694255774	195.489	338.346	0.7975	142.857	-42.26	
21	Spectrogram 1	1	72.425770883	73.060125783	157.895	323.308	0.6344	165.413	-39.70	
22	Spectrogram 1	1	76.244751535	76.851919796	187.970	390.977	0.6072	203.007	-42.33	
23	Spectrogram 1	1	79.895133088	80.810416587	120.301	368.421	0.9153	248.120	-41.55	
24	Spectrogram 1	1	83.188505394	83.840984720	135.338	375.940	0.6525	240.602	-38.28	
26	Spectrogram 1	1	89.985370097	90.538165081	150.376	323.308	0.5528	172.932	-40.63	
27	Spectrogram 1	1	93.456197621	94.153988011	187.970	345.865	0.6978	157.895	-39.66	
28	Spectrogram 1	1	87.103586409	87.493261562	203.008	398.496	0.3897	195.488	-43.28	
29	Spectrogram 1	1	97.213637039	97.902365216	180.451	360.902	0.6887	180.451	-38.52	
30	Spectrogram 1	1	100.468865710	100.958225204	203.008	360.902	0.4894	157.894	-44.11	
31	Spectrogram 1	1	103.919879086	104.481736283	142.857	345.865	0.5619	203.008	-38.17	
32	Spectrogram 1	1	107.448868926	107.983539485	203.008	360.902	0.5347	157.894	-39.91	
33	Spectrogram 1	1	112.612640532	113.328555348	165.414	368.421	0.7159	203.007	-39.65	
