Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2.004955691	2.662690024	198.874	331.456	0.6577	132.583	-30.74	
2	Spectrogram 1	1	5.697340154	6.160022237	187.050	359.712	0.4627	172.662	-35.67	
3	Spectrogram 1	1	8.123981795	8.541302889	151.079	309.353	0.4173	158.273	-36.49	
4	Spectrogram 1	1	11.149031523	11.765940967	151.079	352.518	0.6169	201.439	-29.29	
5	Spectrogram 1	1	17.425280345	17.788168252	280.576	510.791	0.3629	230.216	-46.17	
6	Spectrogram 1	1	18.173736655	18.482191376	294.964	467.626	0.3085	172.662	-40.57	
7	Spectrogram 1	1	20.031901563	20.816646664	151.079	381.295	0.7847	230.216	-33.68	
8	Spectrogram 1	1	24.204927010	24.694825686	165.468	330.935	0.4899	165.468	-35.57	
9	Spectrogram 1	1	27.201653006	27.950109316	107.914	294.964	0.7485	187.050	-38.83	
10	Spectrogram 1	1	30.059262222	31.039059574	162.787	330.661	0.9798	167.874	-31.97	
11	Spectrogram 1	1	33.515769545	34.404844919	183.136	340.836	0.8891	157.700	-38.25	
12	Spectrogram 1	1	36.781760716	37.634547300	91.568	259.442	0.8528	167.874	-37.29	
13	Spectrogram 1	1	39.412698048	40.519506167	152.613	335.749	1.1068	183.136	-34.07	
14	Spectrogram 1	1	42.841988778	43.467970419	167.874	381.532	0.6260	213.658	-37.30	
15	Spectrogram 1	1	45.832357778	47.002671281	76.306	228.919	1.1703	152.613	-41.00	
16	Spectrogram 1	1	48.263706761	49.515670043	162.787	361.184	1.2520	198.397	-34.64	
17	Spectrogram 1	1	52.391556713	53.099188133	188.223	351.010	0.7076	162.787	-41.38	
18	Spectrogram 1	1	54.786616905	54.958988661	132.265	289.965	0.1724	157.700	-36.89	
19	Spectrogram 1	1	55.285587779	56.737139410	96.655	254.355	1.4516	157.700	-40.85	
20	Spectrogram 1	1	58.306629612	59.250138172	162.787	335.749	0.9435	172.961	-34.20	
21	Spectrogram 1	1	61.971797482	62.715717693	167.874	356.097	0.7439	188.223	-40.79	
22	Spectrogram 1	1	64.793250966	65.718615131	71.219	279.790	0.9254	208.571	-39.73	
23	Spectrogram 1	1	67.335996611	68.215999787	178.048	376.445	0.8800	198.397	-38.37	
24	Spectrogram 1	1	71.273330411	71.899312053	198.397	361.184	0.6260	162.787	-34.66	
25	Spectrogram 1	1	76.755653727	77.717306683	167.874	361.184	0.9617	193.310	-38.77	
26	Spectrogram 1	1	80.726004620	81.442708238	223.832	335.749	0.7167	111.916	-39.95	
27	Spectrogram 1	1	83.991995791	85.116948306	96.655	213.658	1.1250	117.003	-38.32	
28	Spectrogram 1	1	86.628549140	87.535768910	183.136	330.661	0.9072	147.526	-37.16	
29	Spectrogram 1	1	90.393511185	91.454958315	178.048	391.707	1.0614	213.658	-45.17	
30	Spectrogram 1	1	93.673635677	94.526422261	71.219	239.094	0.8528	167.874	-41.99	
31	Spectrogram 1	1	96.168490044	97.003132232	183.136	351.010	0.8346	167.874	-37.53	
32	Spectrogram 1	1	100.069535054	100.949538230	183.136	325.574	0.8800	142.439	-36.93	
33	Spectrogram 1	1	103.080472475	103.942331256	61.045	244.181	0.8619	183.136	-37.16	
34	Spectrogram 1	1	105.666048819	106.654918368	178.048	396.794	0.9889	218.745	-37.90	
35	Spectrogram 1	1	109.530805038	110.193075470	188.223	366.271	0.6623	178.048	-38.78	
36	Spectrogram 1	1	112.756416508	113.554769906	86.481	234.007	0.7984	147.526	-38.75	
37	Spectrogram 1	1	115.278487468	116.067768668	178.048	381.532	0.7893	203.484	-36.53	
38	Spectrogram 1	1	118.834788966	119.569636979	218.745	356.097	0.7348	137.352	-39.86	
39	Spectrogram 1	1	121.728045870	122.653410036	71.219	218.745	0.9254	147.526	-39.13	
40	Spectrogram 1	1	124.485993970	125.075686821	178.048	366.271	0.5897	188.223	-33.99	
41	Spectrogram 1	1	128.278172608	128.867865458	188.223	366.271	0.5897	178.048	-38.60	
42	Spectrogram 1	1	131.432942667	132.349234635	66.132	264.529	0.9163	198.397	-38.52	
43	Spectrogram 1	1	134.018519011	134.998316363	172.961	371.358	0.9798	198.397	-37.00	
44	Spectrogram 1	1	137.254022275	137.934437102	208.571	371.358	0.6804	162.787	-36.21	
45	Spectrogram 1	1	139.894031805	140.619807621	71.219	239.094	0.7258	167.874	-37.06	
46	Spectrogram 1	1	142.358213844	142.984195485	152.613	381.532	0.6260	228.919	-37.93	
47	Spectrogram 1	1	143.465021963	144.136364593	386.620	554.494	0.6713	167.874	-45.17	
48	Spectrogram 1	1	145.860082155	146.622146762	178.048	396.794	0.7621	218.745	-35.96	
49	Spectrogram 1	1	147.511222136	147.992048614	162.787	315.400	0.4808	152.613	-45.46	
51	Spectrogram 1	1	148.156983451	149.191213988	86.481	234.007	1.0342	147.526	-37.00	
53	Spectrogram 1	1	150.352455294	151.087303307	188.223	345.923	0.7348	157.700	-35.07	
54	Spectrogram 1	1	153.633319776	154.377239987	178.048	345.923	0.7439	167.874	-36.35	
55	Spectrogram 1	1	156.082813154	156.699722597	81.394	234.007	0.6169	152.613	-38.10	
56	Spectrogram 1	1	157.888180496	158.813544661	172.961	386.620	0.9254	213.658	-36.23	
57	Spectrogram 1	1	161.117512348	161.425967070	76.306	361.184	0.3085	284.878	-41.10	
58	Spectrogram 1	1	163.176901225	163.748449680	66.132	228.919	0.5715	162.787	-40.23	
59	Spectrogram 1	1	166.215901577	166.488067507	198.397	503.623	0.2722	305.226	-41.25	
60	Spectrogram 1	1	169.454676155	169.672408899	335.749	600.278	0.2177	264.529	-39.25	
61	Spectrogram 1	1	171.777158765	172.076541289	86.481	432.403	0.2994	345.923	-41.64	
62	Spectrogram 1	1	173.742369452	173.914741209	147.526	539.233	0.1724	391.707	-40.34	
63	Spectrogram 1	1	175.166704491	175.847119318	289.965	396.794	0.6804	106.829	-46.24	
64	Spectrogram 1	1	176.690833704	176.890422053	137.352	574.842	0.1996	437.491	-37.99	
65	Spectrogram 1	1	180.833556967	181.024073119	167.874	442.578	0.1905	274.703	-39.85	
66	Spectrogram 1	1	185.215242873	185.968235282	330.661	473.100	0.7530	142.439	-47.68	
