begin_time,end_time,filename,call_length,label
2.9,4.1,honk/9889_20230803105547880_wav_20230803105632736_,1.2,0
2.9,4.1,honk/6846_20230630200933847_wav_20230704123525196_,1.2,0
2.9,4.1,honk/8368_20230726103545864_wav_20230726103654882_,1.2,0
2.9,4.1,honk/6752_20230630101131873_wav_20230704113217794_,1.2,0
2.9,4.1,honk/9630_20230802090443875_wav_20230802090536107_,1.2,0
2.9,4.1,honk/10273_20230806002800868_wav_20230806002857000_,1.2,0
2.9,4.1,honk/9570_20230801213548878_wav_20230801213639775_,1.2,0
2.9,4.1,honk/7896_20230720182117876_wav_20230723152239453_,1.2,0
2.9,4.1,honk/8332_20230726071209851_wav_20230726071318106_,1.2,0
2.9,4.1,honk/10372_20230806134400875_wav_20230806134508321_,1.2,0
2.9,4.1,honk/9512_20230801164748845_wav_20230801164846359_,1.2,0
2.9,4.1,honk/10806_20230814110709852_wav_20230814110802823_,1.2,0
2.9,4.1,honk/10573_20230807155916841_wav_20230807160008656_,1.2,0
2.9,4.1,honk/7086_20230702172642877_wav_20230704153515340_,1.2,0
2.9,4.1,honk/9603_20230802070244861_wav_20230802070334798_,1.2,0
2.9,4.1,honk/6740_20230630085856867_wav_20230704112340000_,1.2,0
2.9,4.1,honk/8331_20230726070129839_wav_20230726070216102_,1.2,0
2.9,4.1,honk/9618_20230802081722876_wav_20230802081808890_,1.2,0
2.9,4.1,honk/10407_20230806172709868_wav_20230806172801415_,1.2,0
2.9,4.1,honk/8336_20230726080236859_wav_20230726080320680_,1.2,0
2.9,4.1,honk/10845_20230814133319853_wav_20230814133406715_,1.2,0
2.9,4.1,honk/9484_20230801143259864_wav_20230801143350272_,1.2,0
2.9,4.1,honk/6867_20230701102803870_wav_20230704125139804_,1.2,0
2.9,4.1,honk/8670_20230728070902842_wav_20230728070956605_,1.2,0
2.9,4.1,honk/7209_20230703122034863_wav_20230704171000839_,1.2,0
2.9,4.1,honk/8255_20230725150247848_wav_20230725150345433_,1.2,0
2.9,4.1,honk/7998_20230723163119862_wav_20230723164709538_,1.2,0
2.9,4.1,honk/9433_20230801105031879_wav_20230801105113452_,1.2,0
2.9,4.1,honk/9983_20230803161716846_wav_20230803161836766_,1.2,0
2.9,4.1,honk/8405_20230726123546871_wav_20230726123637980_,1.2,0
2.9,4.1,honk/8845_20230729183251851_wav_20230729183343578_,1.2,0
2.9,4.1,honk/6914_20230701194702876_wav_20230704132924257_,1.2,0
2.9,4.1,honk/7885_20230720174844860_wav_20230723151633060_,1.2,0
2.9,4.1,honk/10697_20230813161626870_wav_20230813161730680_,1.2,0
2.9,4.1,honk/8595_20230727142451864_wav_20230727142552403_,1.2,0
2.9,4.1,honk/10736_20230813202624856_wav_20230813202727705_,1.2,0
2.9,4.1,honk/10611_20230807184352868_wav_20230807184502305_,1.2,0
2.9,4.1,honk/10192_20230804200232860_wav_20230804200323285_,1.2,0
2.9,4.1,honk/10636_20230807213251879_wav_20230807213344117_,1.2,0
