,Selection,View,Channel,Start_DateTime_ISO8601,End_DateTime_ISO8601,Low.Freq..Hz.,High.Freq..Hz.,Species,Detection_Comments,filename,begin_time,end_time,call_length
0,1,Spectrogram 1,1,2009-03-28T00:03:08-05:00,2009-03-28T00:03:11-05:00,70.7,174.2,RIWH,,NOPP6_EST_20090328_000000_CH10,188,191,3
1,2,Spectrogram 1,1,2009-03-28T00:03:55-05:00,2009-03-28T00:03:58-05:00,83.3,197.0,RIWH,,NOPP6_EST_20090328_000000_CH10,235,238,3
2,3,Spectrogram 1,1,2009-03-28T00:06:38-05:00,2009-03-28T00:06:41-05:00,75.8,151.5,RIWH,,NOPP6_EST_20090328_000000_CH10,398,401,3
3,4,Spectrogram 1,1,2009-03-28T00:07:17-05:00,2009-03-28T00:07:21-05:00,75.8,214.6,RIWH,,NOPP6_EST_20090328_000000_CH10,437,441,4
4,5,Spectrogram 1,1,2009-03-28T00:07:30-05:00,2009-03-28T00:07:33-05:00,40.4,171.7,RIWH,,NOPP6_EST_20090328_000000_CH10,450,453,3
6,7,Spectrogram 1,1,2009-03-28T00:09:06-05:00,2009-03-28T00:09:10-05:00,118.7,244.9,RIWH,,NOPP6_EST_20090328_000000_CH10,546,550,4
7,8,Spectrogram 1,1,2009-03-28T00:09:24-05:00,2009-03-28T00:09:27-05:00,78.3,186.9,RIWH,,NOPP6_EST_20090328_000000_CH10,564,570,6
10,11,Spectrogram 1,1,2009-03-28T00:10:31-05:00,2009-03-28T00:10:34-05:00,83.3,184.3,RIWH,,NOPP6_EST_20090328_000000_CH10,631,634,3
11,12,Spectrogram 1,1,2009-03-28T00:10:36-05:00,2009-03-28T00:10:39-05:00,83.3,239.9,RIWH,,NOPP6_EST_20090328_000000_CH10,636,639,3
12,13,Spectrogram 1,1,2009-03-28T00:10:40-05:00,2009-03-28T00:10:44-05:00,88.4,247.5,RIWH,,NOPP6_EST_20090328_000000_CH10,640,644,4
13,14,Spectrogram 1,1,2009-03-28T00:10:45-05:00,2009-03-28T00:10:47-05:00,118.7,250.0,RIWH,,NOPP6_EST_20090328_000000_CH10,645,647,2
14,15,Spectrogram 1,1,2009-03-28T00:10:53-05:00,2009-03-28T00:10:56-05:00,83.3,275.3,RIWH,,NOPP6_EST_20090328_000000_CH10,653,656,3
15,16,Spectrogram 1,1,2009-03-28T00:11:12-05:00,2009-03-28T00:11:14-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_000000_CH10,672,674,2
16,17,Spectrogram 1,1,2009-03-28T00:12:14-05:00,2009-03-28T00:12:17-05:00,78.3,179.3,RIWH,,NOPP6_EST_20090328_000000_CH10,734,737,3
17,18,Spectrogram 1,1,2009-03-28T00:12:29-05:00,2009-03-28T00:12:31-05:00,85.9,199.5,RIWH,,NOPP6_EST_20090328_000000_CH10,749,751,2
18,19,Spectrogram 1,1,2009-03-28T00:14:17-05:00,2009-03-28T00:14:21-05:00,85.9,262.6,RIWH,,NOPP6_EST_20090328_000000_CH10,857,861,4
19,20,Spectrogram 1,1,2009-03-28T00:14:50-05:00,2009-03-28T00:14:52-05:00,83.3,232.3,RIWH,,NOPP6_EST_20090328_000000_CH10,890,892,2
20,21,Spectrogram 1,1,2009-03-28T00:14:54-05:00,2009-03-28T00:14:57-05:00,88.4,252.5,RIWH,,NOPP6_EST_20090328_000000_CH10,894,897,3
21,22,Spectrogram 1,1,2009-03-28T00:15:37-05:00,2009-03-28T00:15:40-05:00,116.2,262.6,RIWH,,NOPP6_EST_20090328_001500_CH10,37,40,3
23,24,Spectrogram 1,1,2009-03-28T00:16:54-05:00,2009-03-28T00:16:56-05:00,88.4,282.8,RIWH,,NOPP6_EST_20090328_001500_CH10,114,116,2
24,25,Spectrogram 1,1,2009-03-28T00:17:41-05:00,2009-03-28T00:17:43-05:00,133.8,292.9,RIWH,,NOPP6_EST_20090328_001500_CH10,161,163,2
25,26,Spectrogram 1,1,2009-03-28T00:19:22-05:00,2009-03-28T00:19:24-05:00,85.9,212.1,RIWH,,NOPP6_EST_20090328_001500_CH10,262,264,2
26,27,Spectrogram 1,1,2009-03-28T00:19:30-05:00,2009-03-28T00:19:33-05:00,58.1,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,270,273,3
29,30,Spectrogram 1,1,2009-03-28T00:21:27-05:00,2009-03-28T00:21:30-05:00,70.7,262.6,RIWH,,NOPP6_EST_20090328_001500_CH10,387,390,3
30,31,Spectrogram 1,1,2009-03-28T00:21:33-05:00,2009-03-28T00:21:36-05:00,80.8,247.5,RIWH,,NOPP6_EST_20090328_001500_CH10,393,396,3
31,32,Spectrogram 1,1,2009-03-28T00:21:39-05:00,2009-03-28T00:21:41-05:00,80.8,244.9,RIWH,,NOPP6_EST_20090328_001500_CH10,399,401,2
32,33,Spectrogram 1,1,2009-03-28T00:21:55-05:00,2009-03-28T00:21:58-05:00,80.8,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,415,418,3
33,34,Spectrogram 1,1,2009-03-28T00:22:27-05:00,2009-03-28T00:22:29-05:00,103.5,242.4,RIWH,,NOPP6_EST_20090328_001500_CH10,447,449,2
34,35,Spectrogram 1,1,2009-03-28T00:22:48-05:00,2009-03-28T00:22:51-05:00,80.8,250.0,RIWH,,NOPP6_EST_20090328_001500_CH10,468,471,3
35,36,Spectrogram 1,1,2009-03-28T00:22:53-05:00,2009-03-28T00:22:55-05:00,83.3,318.2,RIWH,,NOPP6_EST_20090328_001500_CH10,473,475,2
36,37,Spectrogram 1,1,2009-03-28T00:22:58-05:00,2009-03-28T00:23:01-05:00,88.4,224.7,RIWH,,NOPP6_EST_20090328_001500_CH10,478,481,3
37,38,Spectrogram 1,1,2009-03-28T00:23:04-05:00,2009-03-28T00:23:06-05:00,85.9,197.0,RIWH,,NOPP6_EST_20090328_001500_CH10,484,486,2
38,39,Spectrogram 1,1,2009-03-28T00:23:16-05:00,2009-03-28T00:23:19-05:00,83.3,227.3,RIWH,,NOPP6_EST_20090328_001500_CH10,496,499,3
39,40,Spectrogram 1,1,2009-03-28T00:23:21-05:00,2009-03-28T00:23:23-05:00,101.0,204.5,RIWH,,NOPP6_EST_20090328_001500_CH10,501,503,2
40,41,Spectrogram 1,1,2009-03-28T00:23:24-05:00,2009-03-28T00:23:26-05:00,108.6,222.2,RIWH,,NOPP6_EST_20090328_001500_CH10,504,506,2
41,42,Spectrogram 1,1,2009-03-28T00:23:48-05:00,2009-03-28T00:23:50-05:00,98.5,265.2,RIWH,,NOPP6_EST_20090328_001500_CH10,528,530,2
42,43,Spectrogram 1,1,2009-03-28T00:24:01-05:00,2009-03-28T00:24:02-05:00,83.3,217.2,RIWH,,NOPP6_EST_20090328_001500_CH10,541,542,1
43,44,Spectrogram 1,1,2009-03-28T00:24:03-05:00,2009-03-28T00:24:05-05:00,121.2,202.0,RIWH,,NOPP6_EST_20090328_001500_CH10,543,545,2
45,46,Spectrogram 1,1,2009-03-28T00:25:06-05:00,2009-03-28T00:25:09-05:00,88.4,239.9,RIWH,,NOPP6_EST_20090328_001500_CH10,606,609,3
46,47,Spectrogram 1,1,2009-03-28T00:25:23-05:00,2009-03-28T00:25:27-05:00,83.3,252.5,RIWH,,NOPP6_EST_20090328_001500_CH10,623,627,4
47,48,Spectrogram 1,1,2009-03-28T00:25:47-05:00,2009-03-28T00:25:50-05:00,75.8,295.5,RIWH,,NOPP6_EST_20090328_001500_CH10,647,650,3
48,49,Spectrogram 1,1,2009-03-28T00:28:15-05:00,2009-03-28T00:28:18-05:00,101.0,237.4,RIWH,,NOPP6_EST_20090328_001500_CH10,795,798,3
49,50,Spectrogram 1,1,2009-03-28T00:30:55-05:00,2009-03-28T00:30:57-05:00,126.3,242.4,RIWH,,NOPP6_EST_20090328_003000_CH10,55,57,2
50,51,Spectrogram 1,1,2009-03-28T00:32:29-05:00,2009-03-28T00:32:31-05:00,96.0,224.7,RIWH,,NOPP6_EST_20090328_003000_CH10,149,151,2
58,59,Spectrogram 1,1,2009-03-28T00:43:42-05:00,2009-03-28T00:43:46-05:00,98.5,277.8,RIWH,,NOPP6_EST_20090328_003000_CH10,822,826,4
59,60,Spectrogram 1,1,2009-03-28T00:43:47-05:00,2009-03-28T00:43:50-05:00,88.4,202.0,RIWH,,NOPP6_EST_20090328_003000_CH10,827,830,3
61,63,Spectrogram 1,1,2009-03-28T00:44:18-05:00,2009-03-28T00:44:20-05:00,80.8,164.1,RIWH,,NOPP6_EST_20090328_003000_CH10,858,860,2
64,66,Spectrogram 1,1,2009-03-28T00:46:54-05:00,2009-03-28T00:46:58-05:00,88.4,199.5,RIWH,,NOPP6_EST_20090328_004500_CH10,114,118,4
66,68,Spectrogram 1,1,2009-03-28T00:52:15-05:00,2009-03-28T00:52:17-05:00,90.9,214.6,RIWH,,NOPP6_EST_20090328_004500_CH10,435,437,2
67,69,Spectrogram 1,1,2009-03-28T00:52:49-05:00,2009-03-28T00:52:52-05:00,103.5,212.1,RIWH,,NOPP6_EST_20090328_004500_CH10,469,472,3
