Selection,View,Channel,Start_DateTime_ISO8601,End_DateTime_ISO8601,Low.Freq..Hz.,High.Freq..Hz.,Species,Detection_Comments,filename,begin_time,end_time,call_length,label
1,Spectrogram 1,1,2009-03-28T00:03:08-05:00,2009-03-28T00:03:11-05:00,70.7,174.2,RIWH,,NOPP6_EST_20090328_000000_CH10,188,191,3,1
2,Spectrogram 1,1,2009-03-28T00:03:55-05:00,2009-03-28T00:03:58-05:00,83.3,197.0,RIWH,,NOPP6_EST_20090328_000000_CH10,191,235,44,0
2,Spectrogram 1,1,2009-03-28T00:03:55-05:00,2009-03-28T00:03:58-05:00,83.3,197.0,RIWH,,NOPP6_EST_20090328_000000_CH10,235,238,3,1
3,Spectrogram 1,1,2009-03-28T00:06:38-05:00,2009-03-28T00:06:41-05:00,75.8,151.5,RIWH,,NOPP6_EST_20090328_000000_CH10,238,398,160,0
3,Spectrogram 1,1,2009-03-28T00:06:38-05:00,2009-03-28T00:06:41-05:00,75.8,151.5,RIWH,,NOPP6_EST_20090328_000000_CH10,398,401,3,1
723,Spectrogram 1,1,2009-03-28T00:07:04-05:00,2009-03-28T00:07:05-05:00,54.2,195.8,RIWH,,NOPP6_EST_20090328_000000_CH10,401,424,23,0
723,Spectrogram 1,1,2009-03-28T00:07:04-05:00,2009-03-28T00:07:05-05:00,54.2,195.8,RIWH,,NOPP6_EST_20090328_000000_CH10,424,425,1,1
4,Spectrogram 1,1,2009-03-28T00:07:17-05:00,2009-03-28T00:07:21-05:00,75.8,214.6,RIWH,,NOPP6_EST_20090328_000000_CH10,425,437,12,0
4,Spectrogram 1,1,2009-03-28T00:07:17-05:00,2009-03-28T00:07:21-05:00,75.8,214.6,RIWH,,NOPP6_EST_20090328_000000_CH10,437,441,4,1
5,Spectrogram 1,1,2009-03-28T00:07:30-05:00,2009-03-28T00:07:33-05:00,40.4,171.7,RIWH,,NOPP6_EST_20090328_000000_CH10,441,450,9,0
5,Spectrogram 1,1,2009-03-28T00:07:30-05:00,2009-03-28T00:07:33-05:00,40.4,171.7,RIWH,,NOPP6_EST_20090328_000000_CH10,450,453,3,1
6,Spectrogram 1,1,2009-03-28T00:08:36-05:00,2009-03-28T00:08:39-05:00,116.2,209.6,RIWH,,NOPP6_EST_20090328_000000_CH10,453,516,63,0
6,Spectrogram 1,1,2009-03-28T00:08:36-05:00,2009-03-28T00:08:39-05:00,116.2,209.6,RIWH,,NOPP6_EST_20090328_000000_CH10,516,519,3,1
7,Spectrogram 1,1,2009-03-28T00:09:06-05:00,2009-03-28T00:09:10-05:00,118.7,244.9,RIWH,,NOPP6_EST_20090328_000000_CH10,519,546,27,0
7,Spectrogram 1,1,2009-03-28T00:09:06-05:00,2009-03-28T00:09:10-05:00,118.7,244.9,RIWH,,NOPP6_EST_20090328_000000_CH10,546,550,4,1
8,Spectrogram 1,1,2009-03-28T00:09:24-05:00,2009-03-28T00:09:27-05:00,78.3,186.9,RIWH,,NOPP6_EST_20090328_000000_CH10,550,564,14,0
8,Spectrogram 1,1,2009-03-28T00:09:24-05:00,2009-03-28T00:09:27-05:00,78.3,186.9,RIWH,,NOPP6_EST_20090328_000000_CH10,564,570,6,1
11,Spectrogram 1,1,2009-03-28T00:10:31-05:00,2009-03-28T00:10:34-05:00,83.3,184.3,RIWH,,NOPP6_EST_20090328_000000_CH10,570,631,61,0
11,Spectrogram 1,1,2009-03-28T00:10:31-05:00,2009-03-28T00:10:34-05:00,83.3,184.3,RIWH,,NOPP6_EST_20090328_000000_CH10,631,634,3,1
